pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.458 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0) + 10.042 us   |                        }
 0) + 12.792 us   |                      }
 0) + 15.833 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.459 us    |                      rt_spin_lock();
 0)   0.834 us    |                      vma_interval_tree_remove();
 0)   0.458 us    |                      rt_spin_unlock();
 0) + 10.250 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.500 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.459 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   7.000 us    |                        }
 0) + 12.958 us   |                      }
 0) + 16.250 us   |                    }
 0) + 51.083 us   |                  }
 0)   0.916 us    |                  free_pgd_range();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.458 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.750 us    |                        }
 0) + 13.375 us   |                      }
 0) + 16.417 us   |                    }
 0)   0.833 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   7.292 us    |                        }
 0) + 13.458 us   |                      }
 0) + 16.792 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.625 us    |                      kmem_cache_free();
 0)   3.916 us    |                    }
 0)   0.542 us    |                    kmem_cache_free();
 0) + 53.042 us   |                  }
 0)   0.458 us    |                  unlink_file_vma();
 0)   2.917 us    |                  free_pgd_range();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0) + 10.333 us   |                        }
 0) + 13.167 us   |                      }
 0) + 16.458 us   |                    }
 0)   1.209 us    |                    anon_vma_interval_tree_remove();
 0)   0.584 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   7.166 us    |                        }
 0) + 13.417 us   |                      }
 0) + 17.917 us   |                    }
 0) + 48.375 us   |                  }
 0)   0.458 us    |                  unlink_file_vma();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.458 us    |                          preempt_count_sub();
 0) + 10.167 us   |                        }
 0) + 13.458 us   |                      }
 0) + 16.250 us   |                    }
 0)   2.875 us    |                    anon_vma_interval_tree_remove();
 0)   0.541 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.708 us    |                        }
 0) + 12.916 us   |                      }
 0) + 16.375 us   |                    }
 0) + 47.541 us   |                  }
 0)   0.667 us    |                  unlink_file_vma();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.792 us    |                        }
 0) + 13.375 us   |                      }
 0) + 16.167 us   |                    }
 0)   1.250 us    |                    anon_vma_interval_tree_remove();
 0)   0.542 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   7.208 us    |                        }
 0) + 13.459 us   |                      }
 0) + 16.833 us   |                    }
 0) + 46.250 us   |                  }
 0)   0.500 us    |                  unlink_file_vma();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.833 us    |                        }
 0) + 13.209 us   |                      }
 0) + 16.000 us   |                    }
 0)   0.708 us    |                    anon_vma_interval_tree_remove();
 0)   0.583 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
