pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)   0.500 us    |      rcu_sched_qs();
 0)   0.500 us    |      rcu_preempt_qs();
 0)   6.750 us    |    }
 0)   0.500 us    |    preempt_count_add();
 0)   0.792 us    |    update_rq_clock();
 0)               |    deactivate_task() {
 0)               |      dequeue_task_rt() {
 0)               |        update_curr_rt() {
 0)   0.458 us    |          dbs_update_util_handler();
 0)               |          cpuacct_charge() {
 0)   0.458 us    |            __rcu_read_lock();
 0)   0.458 us    |            __rcu_read_unlock();
 0)   6.750 us    |          }
 0)   0.458 us    |          preempt_count_add();
 0)   0.500 us    |          preempt_count_sub();
 0) + 19.375 us   |        }
 0)               |        dequeue_rt_stack() {
 0)   0.459 us    |          dequeue_top_rt_rq.constprop.9();
 0)   3.833 us    |        }
 0)   0.459 us    |        enqueue_top_rt_rq.constprop.11();
 0) + 32.042 us   |      }
 0) + 34.833 us   |    }
 0)   0.459 us    |    pick_next_task_dl();
 0)               |    pick_next_task_rt() {
 0)   0.458 us    |      update_curr_rt();
 0)   4.667 us    |    }
 0)               |    pick_next_task_fair() {
 0)               |      put_prev_task_rt() {
 0)   0.458 us    |        update_curr_rt();
 0)   3.416 us    |      }
 0)               |      pick_next_entity() {
 0)   0.459 us    |        clear_buddies();
 0)   4.125 us    |      }
 0)               |      set_next_entity() {
 0)   0.458 us    |        dbs_update_util_handler();
 0)   5.166 us    |      }
 0) + 21.084 us   |    }
 0)   0.708 us    |    switch_kmaps();
 0)               |    atomic_notifier_call_chain() {
 0)   0.667 us    |      __rcu_read_lock();
 0)               |      notifier_call_chain() {
 0)   0.500 us    |        vfp_notifier();
 0)   0.667 us    |        thumbee_notifier();
 0)   6.875 us    |      }
 0)   0.458 us    |      __rcu_read_unlock();
 0) + 16.458 us   |    }
 ------------------------------------------
 0)   ktimers-8    =>   ptp0-1106   
 ------------------------------------------

 0)               |  finish_task_switch() {
 0)   0.667 us    |    preempt_count_sub();
 0)   3.958 us    |  }
 0)   0.458 us    |  preempt_count_sub();
 0)   1.208 us    |  kthread_should_stop();
 0)   0.708 us    |  rt_spin_lock();
 0)   0.458 us    |  rt_spin_unlock();
 0)               |  ptp_aux_kworker() {
 0)               |    cpts_overflow_check() {
 0)   0.667 us    |      rt_spin_lock();
 0)               |      timecounter_read() {
 0)               |        cpts_systim_read() {
 0)   4.292 us    |          cpts_fifo_read();
 0)   9.125 us    |        }
 0) + 13.625 us   |      }
 0)   2.583 us    |      ns_to_timespec64();
 0)   0.459 us    |      rt_spin_unlock();
 0) + 30.500 us   |    }
 0)               |    kthread_queue_delayed_work() {
 0)   0.459 us    |      rt_spin_lock();
 0)               |      __kthread_queue_delayed_work() {
 0)   0.667 us    |        kthread_insert_work_sanity_check();
 0)               |        add_timer() {
 0)               |          mod_timer() {
 0)               |            lock_timer_base() {
 0)   0.792 us    |              preempt_count_add();
 0)   4.333 us    |            }
 0)   0.458 us    |            detach_if_pending();
 0)               |            __internal_add_timer() {
 0)   0.958 us    |              calc_wheel_index();
 0)   0.500 us    |              enqueue_timer();
 0)   7.750 us    |            }
 0)   0.500 us    |            trigger_dyntick_cpu();
 0)   0.500 us    |            preempt_count_sub();
 0) + 28.209 us   |          }
 0) + 31.875 us   |        }
 0) + 39.584 us   |      }
 0)   0.500 us    |      rt_spin_unlock();
 0) + 49.250 us   |    }
 0) + 86.833 us   |  }
 0)   0.541 us    |  kthread_should_stop();
 0)   0.459 us    |  rt_spin_lock();
 0)   0.500 us    |  rt_spin_unlock();
 0)               |  schedule() {
 0)   0.459 us    |    preempt_count_add();
 0)               |    rcu_note_context_switch() {
 0)   0.541 us    |      rcu_sched_qs();
 0)   0.500 us    |      rcu_preempt_qs();
 0)   7.083 us    |    }
 0)   0.459 us    |    preempt_count_add();
 0)   0.792 us    |    update_rq_clock();
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.500 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.459 us    |              __rcu_read_lock();
 0)   0.458 us    |              __rcu_read_unlock();
 0)   7.333 us    |            }
 0) + 14.250 us   |          }
 0)   0.458 us    |          dbs_update_util_handler();
 0)   0.459 us    |          clear_buddies();
 0)   0.458 us    |          update_cfs_shares();
 0) + 27.125 us   |        }
 0)   0.459 us    |        hrtick_update();
 0) + 33.834 us   |      }
 0) + 37.166 us   |    }
 0)               |    pick_next_task_fair() {
 0)               |      pick_next_entity() {
 0)   0.458 us    |        clear_buddies();
 0)   3.625 us    |      }
 0)               |      put_prev_entity() {
 0)   0.500 us    |        check_spread();
 0)   3.250 us    |      }
 0)               |      set_next_entity() {
 0)   0.459 us    |        dbs_update_util_handler();
 0)   4.083 us    |      }
 0) + 21.042 us   |    }
 0)   0.709 us    |    switch_kmaps();
 0)               |    atomic_notifier_call_chain() {
 0)   0.500 us    |      __rcu_read_lock();
 0)               |      notifier_call_chain() {
 0)   0.500 us    |        vfp_notifier();
 0)   0.666 us    |        thumbee_notifier();
 0)   6.833 us    |      }
 0)   0.459 us    |      __rcu_read_unlock();
 0) + 16.292 us   |    }
 ------------------------------------------
 0)   ptp0-1106    => kworker-27440 
 ------------------------------------------

 0)               |  finish_task_switch() {
 0)   0.708 us    |    preempt_count_sub();
 0)   3.833 us    |  }
 0)   0.458 us    |  preempt_count_sub();
 0)               |  wq_worker_running() {
 0)   0.958 us    |    kthread_data();
 0)   4.291 us    |  }
 0)   0.458 us    |  rt_spin_lock();
 0)   0.542 us    |  preempt_count_add();
 0)   0.500 us    |  preempt_count_sub();
 0)               |  worker_enter_idle() {
 0)   0.500 us    |    preempt_count_add();
 0)   0.500 us    |    preempt_count_sub();
 0)   8.792 us    |  }
 0)   0.458 us    |  rt_spin_unlock();
 0)               |  schedule() {
 0)               |    wq_worker_sleeping() {
 0)   0.458 us    |      kthread_data();
 0)   3.542 us    |    }
 0)   0.500 us    |    preempt_count_add();
 0)               |    rcu_note_context_switch() {
 0)   0.541 us    |      rcu_sched_qs();
 0)   0.500 us    |      rcu_preempt_qs();
 0)   7.083 us    |    }
 0)   0.458 us    |    preempt_count_add();
 0)   1.209 us    |    update_rq_clock();
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.750 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.500 us    |              __rcu_read_lock();
 0)   0.458 us    |              __rcu_read_unlock();
 0)   7.208 us    |            }
 0) + 14.041 us   |          }
 0)   0.667 us    |          dbs_update_util_handler();
 0)   0.458 us    |          clear_buddies();
 0)   0.459 us    |          update_cfs_shares();
 0) + 28.375 us   |        }
 0)   0.458 us    |        hrtick_update();
 0) + 34.958 us   |      }
 0) + 38.084 us   |    }
 0)               |    pick_next_task_fair() {
 0)               |      pick_next_entity() {
 0)   0.500 us    |        clear_buddies();
 0)   3.917 us    |      }
 0)               |      put_prev_entity() {
 0)   0.500 us    |        check_spread();
 0)   3.875 us    |      }
 0)               |      set_next_entity() {
 0)   0.500 us    |        dbs_update_util_handler();
 0)   4.500 us    |      }
 0) + 20.959 us   |    }
 0)   0.709 us    |    switch_kmaps();
 0)               |    atomic_notifier_call_chain() {
 0)   0.500 us    |      __rcu_read_lock();
 0)               |      notifier_call_chain() {
 0)   0.500 us    |        vfp_notifier();
 0)   0.666 us    |        thumbee_notifier();
 0)   6.833 us    |      }
 0)   0.458 us    |      __rcu_read_unlock();
 0) + 16.083 us   |    }
 ------------------------------------------
 0) kworker-27440  =>   rcu_pre-9   
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)   0.709 us    |      preempt_count_sub();
 0)   3.709 us    |    }
 0)   0.458 us    |    preempt_count_sub();
 0) $ 3840999 us  |  }
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.500 us    |      preempt_count_add();
 0)   1.250 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0) + 11.459 us   |    }
 0) + 15.333 us   |  }
 0)               |  finish_swait() {
 0)   0.500 us    |    preempt_count_add();
 0)   0.500 us    |    preempt_count_sub();
 0)   7.250 us    |  }
 0)   0.500 us    |  preempt_count_add();
 0)   0.708 us    |  rcu_jiffies_till_stall_check();
 0)   0.500 us    |  preempt_count_sub();
 0)   0.541 us    |  preempt_count_add();
 0)   0.500 us    |  preempt_count_sub();
 0)   0.542 us    |  preempt_count_add();
 0)               |  __note_gp_changes() {
 0)               |    rcu_accelerate_cbs() {
 0)   0.458 us    |      rcu_segcblist_pend_cbs();
 0)   0.958 us    |      rcu_segcblist_accelerate();
 0)   8.084 us    |    }
 0) + 11.875 us   |  }
 0)   0.458 us    |  preempt_count_sub();
 0)   0.500 us    |  rcu_all_qs();
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.459 us    |      preempt_count_add();
 0)   0.500 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0) + 10.125 us   |    }
 0) + 13.000 us   |  }
 0)               |  schedule_timeout() {
 0)   0.709 us    |    init_timer_key();
 0)               |    lock_timer_base() {
 0)   0.500 us    |      preempt_count_add();
 0)   3.416 us    |    }
 0)   0.500 us    |    detach_if_pending();
 0)               |    __internal_add_timer() {
 0)   0.458 us    |      calc_wheel_index();
 0)   0.667 us    |      enqueue_timer();
 0)   8.083 us    |    }
 0)   0.500 us    |    trigger_dyntick_cpu();
 0)   0.458 us    |    preempt_count_sub();
 0)               |    schedule() {
 0)   0.542 us    |      preempt_count_add();
 0)               |      rcu_note_context_switch() {
 0)   0.542 us    |        rcu_sched_qs();
 0)   0.833 us    |        rcu_preempt_qs();
 0)   7.292 us    |      }
 0)   0.459 us    |      preempt_count_add();
 0)   0.834 us    |      update_rq_clock();
 0)               |      deactivate_task() {
 0)               |        dequeue_task_fair() {
 0)               |          dequeue_entity() {
 0)               |            update_curr() {
 0)   0.958 us    |              update_min_vruntime();
 0)               |              cpuacct_charge() {
 0)   0.417 us    |                __rcu_read_lock();
 0)   0.459 us    |                __rcu_read_unlock();
 0)   7.166 us    |              }
 0) + 14.500 us   |            }
 0)   0.500 us    |            dbs_update_util_handler();
 0)   0.458 us    |            clear_buddies();
 0)   0.458 us    |            update_cfs_shares();
 0) + 27.166 us   |          }
 0)   0.458 us    |          hrtick_update();
 0) + 33.708 us   |        }
 0) + 36.958 us   |      }
 0)               |      pick_next_task_fair() {
 0)               |        pick_next_entity() {
 0)   0.459 us    |          clear_buddies();
 0)   3.583 us    |        }
 0)               |        put_prev_entity() {
 0)   0.458 us    |          check_spread();
 0)   3.500 us    |        }
 0)               |        set_next_entity() {
 0)   0.459 us    |          dbs_update_util_handler();
 0)   4.417 us    |        }
 0) + 20.333 us   |      }
 0)   0.708 us    |      switch_kmaps();
 0)               |      atomic_notifier_call_chain() {
 0)   0.459 us    |        __rcu_read_lock();
 0)               |        notifier_call_chain() {
 0)   0.500 us    |          vfp_notifier();
 0)   0.709 us    |          thumbee_notifier();
 0)   6.916 us    |        }
 0)   0.500 us    |        __rcu_read_unlock();
 0) + 16.292 us   |      }
 ------------------------------------------
 0)   rcu_pre-9    =>   rcuc/0-11   
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)   1.209 us    |      preempt_count_sub();
 0)   4.208 us    |    }
 0)   0.667 us    |    preempt_count_sub();
 0) # 5216.583 us |  } /* schedule */
 0)   0.750 us    |  preempt_count_add();
 0)   0.750 us    |  kthread_should_stop();
 0)   0.458 us    |  kthread_should_park();
 0)   0.500 us    |  rcu_cpu_kthread_should_run();
 0)   0.500 us    |  preempt_count_sub();
 0)               |  rcu_cpu_kthread() {
 0)   0.500 us    |    __local_bh_disable();
 0)   0.792 us    |    note_gp_changes();
 0)   0.500 us    |    preempt_count_add();
 0)               |    rcu_accelerate_cbs() {
 0)   0.458 us    |      rcu_segcblist_pend_cbs();
 0)   0.500 us    |      rcu_segcblist_accelerate();
 0)   7.125 us    |    }
 0)               |    rcu_report_qs_rnp() {
 0)               |      rcu_report_qs_rsp() {
 0)   0.459 us    |        preempt_count_sub();
 0)               |        rcu_gp_kthread_wake() {
 0)               |          swake_up() {
 0)   0.708 us    |            preempt_count_add();
 0)               |            swake_up_locked.part.0() {
 0)               |              wake_up_process() {
 0)               |                try_to_wake_up() {
 0)   0.750 us    |                  preempt_count_add();
 0)   0.458 us    |                  preempt_count_add();
 0)   0.833 us    |                  update_rq_clock();
 0)               |                  activate_task() {
 0)               |                    enqueue_task_fair() {
 0)               |                      enqueue_entity() {
 0)               |                        update_curr() {
 0)   0.792 us    |                          update_min_vruntime();
 0)               |                          cpuacct_charge() {
 0)   0.500 us    |                            __rcu_read_lock();
 0)   0.458 us    |                            __rcu_read_unlock();
 0)   6.958 us    |                          }
 0) + 13.833 us   |                        }
 0)   0.458 us    |                        dbs_update_util_handler();
 0)   0.458 us    |                        update_cfs_shares();
 0)   0.500 us    |                        check_spread();
 0)   0.583 us    |                        __enqueue_entity();
 0) + 30.375 us   |                      }
 0)   0.459 us    |                      hrtick_update();
 0) + 36.792 us   |                    }
 0) + 41.125 us   |                  }
 0)               |                  check_preempt_curr() {
 0)               |                    check_preempt_wakeup() {
 0)   0.459 us    |                      update_curr();
 0)   0.708 us    |                      wakeup_preempt_entity();
 0)   7.042 us    |                    }
 0) + 10.125 us   |                  }
 0)   1.333 us    |                  ttwu_do_wakeup.part.20();
 0)   0.500 us    |                  preempt_count_sub();
 0)   0.458 us    |                  preempt_count_sub();
 0) + 77.417 us   |                }
 0) + 80.709 us   |              }
 0) + 84.125 us   |            }
 0)   0.458 us    |            preempt_count_sub();
 0) + 93.875 us   |          }
 0) + 98.875 us   |        }
 0) ! 105.875 us  |      }
 0) ! 110.333 us  |    }
 0)   0.541 us    |    cpu_needs_another_gp();
 0)   0.500 us    |    rcu_segcblist_ready_cbs();
 0)   0.541 us    |    note_gp_changes();
 0)               |    cpu_needs_another_gp() {
 0)   0.667 us    |      rcu_segcblist_future_gp_needed();
 0)   4.625 us    |    }
 0)   0.458 us    |    rcu_segcblist_ready_cbs();
 0)   0.791 us    |    __local_bh_enable();
 0) ! 160.834 us  |  }
 0)   0.458 us    |  preempt_count_add();
 0)   0.500 us    |  kthread_should_stop();
 0)   0.500 us    |  kthread_should_park();
 0)   0.500 us    |  rcu_cpu_kthread_should_run();
 0)   0.458 us    |  preempt_count_sub();
 0)               |  schedule() {
 0)   0.500 us    |    preempt_count_add();
 0)               |    rcu_note_context_switch() {
 0)   0.500 us    |      rcu_sched_qs();
 0)   0.542 us    |      rcu_preempt_qs();
 0)   7.125 us    |    }
 0)   0.708 us    |    preempt_count_add();
 0)   0.750 us    |    update_rq_clock();
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.458 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.459 us    |              __rcu_read_lock();
 0)   0.458 us    |              __rcu_read_unlock();
 0)   7.667 us    |            }
 0) + 14.042 us   |          }
 0)   0.459 us    |          dbs_update_util_handler();
 0)   0.417 us    |          clear_buddies();
 0)   0.417 us    |          update_cfs_shares();
 0) + 26.500 us   |        }
 0)   0.417 us    |        hrtick_update();
 0) + 33.125 us   |      }
 0) + 36.208 us   |    }
 0)               |    pick_next_task_fair() {
 0)               |      pick_next_entity() {
 0)   0.458 us    |        clear_buddies();
 0)   3.875 us    |      }
 0)               |      put_prev_entity() {
 0)   0.458 us    |        check_spread();
 0)   3.500 us    |      }
 0)               |      set_next_entity() {
 0)   0.458 us    |        dbs_update_util_handler();
 0)   3.458 us    |      }
 0) + 19.792 us   |    }
 0)   0.500 us    |    switch_kmaps();
 0)               |    atomic_notifier_call_chain() {
 0)   0.458 us    |      __rcu_read_lock();
 0)               |      notifier_call_chain() {
 0)   0.541 us    |        vfp_notifier();
 0)   0.500 us    |        thumbee_notifier();
 0)   6.875 us    |      }
 0)   0.500 us    |      __rcu_read_unlock();
 0) + 16.417 us   |    }
 ------------------------------------------
 0)   rcuc/0-11    =>   rcu_pre-9   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0)   0.500 us    |        preempt_count_sub();
 0)   3.584 us    |      }
 0)   0.458 us    |      preempt_count_sub();
 0) ! 436.292 us  |    } /* schedule */
 0)               |    del_timer_sync() {
 0)               |      try_to_del_timer_sync() {
 0)               |        lock_timer_base() {
 0)   0.500 us    |          preempt_count_add();
 0)   3.625 us    |        }
 0)   1.250 us    |        detach_if_pending();
 0)   0.500 us    |        preempt_count_sub();
 0) + 14.875 us   |      }
 0) + 19.333 us   |    }
 0) ! 495.584 us  |  } /* schedule_timeout */
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.458 us    |      preempt_count_add();
 0)   0.584 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0)   9.916 us    |    }
 0) + 13.334 us   |  }
 0)               |  finish_swait() {
 0)   0.500 us    |    preempt_count_add();
 0)   0.458 us    |    preempt_count_sub();
 0)   6.834 us    |  }
 0)   0.500 us    |  preempt_count_add();
 0)   0.500 us    |  preempt_count_sub();
 0)   0.500 us    |  preempt_count_add();
 0)               |  __note_gp_changes() {
 0)               |    rcu_advance_cbs() {
 0)   0.459 us    |      rcu_segcblist_pend_cbs();
 0)   0.750 us    |      rcu_segcblist_advance();
 0)               |      rcu_accelerate_cbs() {
 0)   0.458 us    |        rcu_segcblist_pend_cbs();
 0)   3.250 us    |      }
 0) + 13.125 us   |    }
 0) + 16.708 us   |  }
 0)   0.500 us    |  preempt_count_sub();
 0)   0.500 us    |  rcu_all_qs();
 0)   0.541 us    |  preempt_count_add();
 0)               |  rcu_advance_cbs() {
 0)   0.458 us    |    rcu_segcblist_pend_cbs();
 0)   4.833 us    |  }
 0)   0.500 us    |  cpu_needs_another_gp();
 0)   0.458 us    |  preempt_count_sub();
 0)   0.542 us    |  preempt_count_add();
 0)   0.459 us    |  rcu_jiffies_till_stall_check();
 0)   0.458 us    |  preempt_count_sub();
 0)   0.500 us    |  preempt_count_add();
 0)   0.459 us    |  preempt_count_sub();
 0)   0.500 us    |  preempt_count_add();
 0)               |  __note_gp_changes() {
 0)               |    rcu_accelerate_cbs() {
 0)   0.417 us    |      rcu_segcblist_pend_cbs();
 0)   3.417 us    |    }
 0)   6.625 us    |  }
 0)   0.459 us    |  preempt_count_sub();
 0)   0.500 us    |  rcu_all_qs();
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.500 us    |      preempt_count_add();
 0)   0.542 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0)   9.875 us    |    }
 0) + 13.042 us   |  }
 0)               |  schedule_timeout() {
 0)   0.459 us    |    init_timer_key();
 0)               |    lock_timer_base() {
 0)   0.500 us    |      preempt_count_add();
 0)   3.542 us    |    }
 0)   0.458 us    |    detach_if_pending();
 0)               |    __internal_add_timer() {
 0)   0.459 us    |      calc_wheel_index();
 0)   0.708 us    |      enqueue_timer();
 0)   7.125 us    |    }
 0)   0.500 us    |    trigger_dyntick_cpu();
 0)   0.500 us    |    preempt_count_sub();
 0)               |    schedule() {
 0)   0.542 us    |      preempt_count_add();
 0)               |      rcu_note_context_switch() {
 0)   0.500 us    |        rcu_sched_qs();
 0)   0.583 us    |        rcu_preempt_qs();
 0)   6.875 us    |      }
 0)   0.500 us    |      preempt_count_add();
 0)   0.792 us    |      update_rq_clock();
 0)               |      deactivate_task() {
 0)               |        dequeue_task_fair() {
 0)               |          dequeue_entity() {
 0)               |            update_curr() {
 0)   0.500 us    |              update_min_vruntime();
 0)               |              cpuacct_charge() {
 0)   0.458 us    |                __rcu_read_lock();
 0)   0.459 us    |                __rcu_read_unlock();
 0)   6.708 us    |              }
 0) + 12.916 us   |            }
 0)   0.458 us    |            dbs_update_util_handler();
 0)   0.459 us    |            clear_buddies();
 0)   0.459 us    |            update_cfs_shares();
 0) + 25.458 us   |          }
 0)   0.458 us    |          hrtick_update();
 0) + 31.542 us   |        }
 0) + 34.958 us   |      }
 0)               |      pick_next_task_fair() {
 0)               |        pick_next_entity() {
 0)   0.459 us    |          clear_buddies();
 0)   4.250 us    |        }
 0)               |        put_prev_entity() {
 0)   0.458 us    |          check_spread();
 0)   3.500 us    |        }
 0)               |        set_next_entity() {
 0)   0.459 us    |          dbs_update_util_handler();
 0)   3.792 us    |        }
 0) + 20.375 us   |      }
 0)   0.500 us    |      switch_kmaps();
 0)               |      atomic_notifier_call_chain() {
 0)   0.459 us    |        __rcu_read_lock();
 0)               |        notifier_call_chain() {
 0)   0.500 us    |          vfp_notifier();
 0)   0.459 us    |          thumbee_notifier();
 0)   6.750 us    |        }
 0)   0.459 us    |        __rcu_read_unlock();
 0) + 16.375 us   |      }
 ------------------------------------------
 0)   rcu_pre-9    => kworker-27986 
 ------------------------------------------

 0)               |                                  finish_task_switch() {
 0)   0.500 us    |                                    preempt_count_sub();
 0)   3.541 us    |                                  }
 0)   0.459 us    |                                  preempt_count_sub();
 0) # 2335.542 us |                                }
 0)               |                                _enable_clocks() {
 0)               |                                  clk_enable() {
 0)               |                                    clk_core_enable_lock() {
 0)               |                                      clk_enable_lock() {
 0)               |                                        rt_spin_trylock_irqsave() {
 0)   0.833 us    |                                          __rt_mutex_trylock();
 0)   3.834 us    |                                        }
 0)   7.917 us    |                                      }
 0)   1.083 us    |                                      clk_core_enable();
 0)               |                                      clk_enable_unlock.constprop.34() {
 0)   0.459 us    |                                        rt_spin_unlock();
 0)   3.833 us    |                                      }
 0) + 21.875 us   |                                    }
 0) + 25.458 us   |                                  }
 0) + 30.417 us   |                                }
 0)   0.708 us    |                                _omap4_enable_module();
 0)   0.750 us    |                                _omap4_wait_target_ready();
 0)               |                                clkdm_allow_idle() {
 0)               |                                  pwrdm_lock() {
 0)   0.792 us    |                                    rt_spin_lock();
 0)   3.750 us    |                                  }
 0)   0.750 us    |                                  clkdm_allow_idle_nolock();
 0)               |                                  pwrdm_unlock() {
 0)   0.500 us    |                                    rt_spin_unlock();
 0)   3.541 us    |                                  }
 0) + 17.292 us   |                                }
 0) # 3072.708 us |                              }
 0)   0.458 us    |                              rt_spin_unlock();
 0) # 3082.625 us |                            } /* omap_hwmod_enable */
 0) # 3086.875 us |                          } /* omap_device_enable */
 0)               |                          pm_generic_runtime_resume() {
 0)   1.458 us    |                            davinci_mdio_runtime_resume();
 0)   5.375 us    |                          }
 0) # 3098.041 us |                        } /* _od_runtime_resume */
 0)   0.708 us    |                        rt_spin_lock();
 0) # 3107.958 us |                      } /* __rpm_callback */
 0) # 3111.166 us |                    } /* rpm_callback */
 0)               |                    __wake_up() {
 0)               |                      __wake_up_common_lock() {
 0)   0.500 us    |                        rt_spin_lock();
 0)   0.500 us    |                        __wake_up_common();
 0)   0.500 us    |                        rt_spin_unlock();
 0)   10.000 us   |                      }
 0) + 13.291 us   |                    }
 0)               |                    rpm_idle() {
 0)   0.708 us    |                      rpm_check_suspend_allowed();
 0)   4.459 us    |                    }
 0)   0.459 us    |                    rt_spin_unlock();
 0)   0.916 us    |                    __pm_runtime_idle();
 0)   0.458 us    |                    rt_spin_lock();
 0) # 3175.250 us |                  } /* rpm_resume */
 0)   0.500 us    |                  rt_spin_unlock();
 0) # 3185.750 us |                } /* __pm_runtime_resume */
 0)               |                usleep_range() {
 0)               |                  ktime_get() {
 0)   0.625 us    |                    clocksource_read_cycles();
 0)   4.208 us    |                  }
 0)               |                  schedule_hrtimeout_range() {
 0)               |                    schedule_hrtimeout_range_clock() {
 0)               |                      hrtimer_init_sleeper() {
 0)   2.250 us    |                        __hrtimer_init();
 0)   6.625 us    |                      }
 0)               |                      hrtimer_start_range_ns() {
 0)   0.500 us    |                        preempt_count_add();
 0)   2.250 us    |                        enqueue_hrtimer();
 0)               |                        hrtimer_reprogram.constprop.8() {
 0)               |                          tick_program_event() {
 0)               |                            clockevents_program_event() {
 0)               |                              ktime_get() {
 0)   0.625 us    |                                clocksource_read_cycles();
 0)   3.667 us    |                              }
 0)   1.084 us    |                              omap2_gp_timer_set_next_event();
 0) + 11.125 us   |                            }
 0) + 14.791 us   |                          }
 0) + 18.667 us   |                        }
 0)   0.458 us    |                        preempt_count_sub();
 0) + 35.667 us   |                      }
 0)               |                      schedule() {
 0)               |                        wq_worker_sleeping() {
 0)   0.500 us    |                          kthread_data();
 0)               |                          wake_up_worker() {
 0)   0.458 us    |                            preempt_count_add();
 0)               |                            wake_up_process() {
 0)               |                              try_to_wake_up() {
 0)   0.458 us    |                                preempt_count_add();
 0)   0.458 us    |                                preempt_count_add();
 0)   0.791 us    |                                update_rq_clock();
 0)               |                                activate_task() {
 0)               |                                  enqueue_task_fair() {
 0)               |                                    enqueue_entity() {
 0)               |                                      update_curr() {
 0)   0.500 us    |                                        update_min_vruntime();
 0)               |                                        cpuacct_charge() {
 0)   0.459 us    |                                          __rcu_read_lock();
 0)   0.500 us    |                                          __rcu_read_unlock();
 0)   7.250 us    |                                        }
 0) + 14.083 us   |                                      }
 0)   0.459 us    |                                      dbs_update_util_handler();
 0)   0.458 us    |                                      update_cfs_shares();
 0)   0.459 us    |                                      check_spread();
 0)   0.625 us    |                                      __enqueue_entity();
 0) + 30.375 us   |                                    }
 0)   0.458 us    |                                    hrtick_update();
 0) + 37.708 us   |                                  }
 0) + 41.250 us   |                                }
 0)               |                                check_preempt_curr() {
 0)               |                                  check_preempt_wakeup() {
 0)   0.459 us    |                                    update_curr();
 0)   0.459 us    |                                    wakeup_preempt_entity();
 0)   0.750 us    |                                    set_next_buddy();
 0)   0.834 us    |                                    resched_curr_lazy();
 0) + 14.583 us   |                                  }
 0) + 17.916 us   |                                }
 0)   1.375 us    |                                ttwu_do_wakeup.part.20();
 0)   0.458 us    |                                preempt_count_sub();
 0)   0.458 us    |                                preempt_count_sub();
 0) + 85.458 us   |                              }
 0) + 88.792 us   |                            }
 0)               |                            preempt_count_sub() {
 0)               |                              rcu_note_context_switch() {
 0)   0.500 us    |                                rcu_sched_qs();
 0)   0.500 us    |                                rcu_preempt_qs();
 0)   6.833 us    |                              }
 0)   0.500 us    |                              preempt_count_add();
 0)   0.792 us    |                              update_rq_clock();
 0)               |                              pick_next_task_fair() {
 0)               |                                update_curr() {
 0)   0.500 us    |                                  update_min_vruntime();
 0)               |                                  cpuacct_charge() {
 0)   0.458 us    |                                    __rcu_read_lock();
 0)   0.458 us    |                                    __rcu_read_unlock();
 0)   6.542 us    |                                  }
 0) + 13.000 us   |                                }
 0)               |                                pick_next_entity() {
 0)   0.458 us    |                                  wakeup_preempt_entity();
 0)   1.167 us    |                                  clear_buddies();
 0)   7.417 us    |                                }
 0)               |                                put_prev_entity() {
 0)   0.500 us    |                                  update_curr();
 0)   0.459 us    |                                  check_spread();
 0)   0.542 us    |                                  __enqueue_entity();
 0)   0.458 us    |                                  dbs_update_util_handler();
 0) + 12.917 us   |                                }
 0)               |                                set_next_entity() {
 0)   0.458 us    |                                  dbs_update_util_handler();
 0)   4.083 us    |                                }
 0) + 50.750 us   |                              }
 0)   0.708 us    |                              switch_kmaps();
 0)               |                              atomic_notifier_call_chain() {
 0)   0.458 us    |                                __rcu_read_lock();
 0)               |                                notifier_call_chain() {
 0)   0.750 us    |                                  vfp_notifier();
 0)   0.667 us    |                                  thumbee_notifier();
 0)   7.250 us    |                                }
 0)   0.500 us    |                                __rcu_read_unlock();
 0) + 16.416 us   |                              }
 ------------------------------------------
 0) kworker-27986  => kworker-28175 
 ------------------------------------------

