,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27694,preempt_count_add,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.35386
27695,preempt_count_sub,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2443,182903.353863
27696,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353864
27697,check_preempt_curr,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353865
27698,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,2,pi_stress-2443,182903.353866
27699,resched_curr,000,null,d,null,null,check_preempt_curr_rt,2,pi_stress-2443,182903.353867
27700,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353868
27701,preempt_count_sub,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.35387
27702,preempt_count_sub,000,null,null,n,null,try_to_wake_up,1,pi_stress-2443,182903.353871
27703,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353873
