,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2410,182875.265898
1,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2410,182875.265899
2,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2410,182875.2659
3,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2410,182875.265902
4,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2410,182875.265903
5,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2410,182875.265904
6,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2410,182875.265905
7,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2410,182875.265906
8,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2410,182875.265908
9,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2410,182875.265909
10,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2410,182875.26591
11,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2410,182875.265911
12,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2410,182875.265913
13,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2410,182875.265914
14,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2410,182875.265915
15,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2410,182875.265916
16,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2410,182875.265917
17,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2410,182875.265918
18,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2410,182875.265919
19,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2410,182875.265921
20,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2410,182875.265922
21,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2410,182875.265923
22,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2410,182875.265924
23,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2410,182875.265926
24,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2410,182875.265927
25,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2410,182875.265928
26,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2410,182875.26593
