,calls,errors,seconds,syscall,time,usecs/call
0,7,1,2.619426,futex,41.53,374204
1,2,0,1.839082,clock_nanosleep,29.16,919541
2,4,0,1.837319,gettimeofday,29.13,459330
3,1,0,0.001900,execve,0.03,1900
4,27,0,0.001762,write,0.03,65
5,16,0,0.001634,mmap2,0.03,102
6,12,0,0.001145,read,0.02,95
7,6,0,0.001038,open,0.02,173
8,10,0,0.000923,mprotect,0.01,92
9,6,0,0.000549,close,0.01,92
10,3,0,0.000476,clone,0.01,159
11,5,5,0.000472,access,0.01,94
12,6,0,0.000371,lseek,0.01,62
13,6,0,0.000345,fstat64,0.01,58
14,2,0,0.000318,munmap,0.01,159
15,4,0,0.000176,sched_setscheduler,0.00,44
16,1,0,0.000155,set_robust_list,0.00,155
17,3,0,0.000132,brk,0.00,44
18,2,0,0.000127,rt_sigaction,0.00,64
19,7,0,0.000119,sched_get_priority_min,0.00,17
20,2,0,0.000075,rt_sigprocmask,0.00,38
21,1,0,0.000065,uname,0.00,65
22,1,0,0.000063,getrlimit,0.00,63
23,1,0,0.000060,set_tid_address,0.00,60
24,6,0,0.000047,sched_get_priority_max,0.00,8
25,3,0,0.000045,sched_setaffinity,0.00,15
26,1,0,0.000017,sched_getaffinity,0.00,17
27,1,0,0.000015,_llseek,0.00,15
