,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,__task_pid_nr_ns,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702611
1,__rcu_read_lock,000,null,null,null,null,__task_pid_nr_ns,null,pi_stress-2419,182881.702612
2,__rcu_read_unlock,000,null,null,null,null,__task_pid_nr_ns,null,pi_stress-2419,182881.702613
3,get_futex_key,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702615
4,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2419,182881.702616
5,hash_futex,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702617
6,rt_spin_lock,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702618
7,futex_top_waiter,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702619
8,cmpxchg_futex_value_locked,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.70262
9,preempt_count_add,000,null,null,null,null,cmpxchg_futex_value_locked,null,pi_stress-2419,182881.702621
10,preempt_count_sub,000,null,null,null,null,cmpxchg_futex_value_locked,1,pi_stress-2419,182881.702623
11,rt_spin_unlock,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702624
12,drop_futex_key_refs,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.702625
13,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2419,182881.702627
14,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2419,182881.702628
15,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-2419,182881.70263
16,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2419,182881.702631
17,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2419,182881.702633
18,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2419,182881.702634
19,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2419,182881.702635
20,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2419,182881.702636
21,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2419,182881.702637
22,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2419,182881.702638
23,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2419,182881.70264
24,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2419,182881.702641
25,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2419,182881.702642
26,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2419,182881.702644
27,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2419,182881.702645
28,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2419,182881.702646
29,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2419,182881.702647
30,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2419,182881.702648
31,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2419,182881.70265
32,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2419,182881.702651
