,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
7068,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2427,182888.908116
7069,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2427,182888.908117
7070,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2427,182888.908118
7071,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2427,182888.90812
7072,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2427,182888.908121
7073,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2427,182888.908122
7074,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.908123
7075,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.908125
7076,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2427,182888.908126
7077,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2427,182888.908127
7078,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.908128
7079,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.908129
7080,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2427,182888.908131
7081,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2427,182888.908132
7082,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.908133
7083,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2427,182888.908134
7084,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2427,182888.908135
7085,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2427,182888.908136
7086,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2427,182888.908137
7087,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.908139
7088,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.90814
7089,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2427,182888.908141
7090,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2427,182888.908142
7091,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2427,182888.908143
7092,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.908146
7093,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2427,182888.908147
7094,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2427,182888.908148
