,calls,errors,seconds,syscall,time,usecs/call
0,7,1,2.029703,futex,35.24,289958
1,2,0,1.883190,clock_nanosleep,32.70,941595
2,4,0,1.834928,gettimeofday,31.86,458732
3,1,0,0.002054,execve,0.04,2054
4,27,0,0.001757,write,0.03,65
5,16,0,0.001580,mmap2,0.03,99
6,12,0,0.001245,read,0.02,104
7,6,0,0.001106,open,0.02,184
8,10,0,0.000920,mprotect,0.02,92
9,5,5,0.000467,access,0.01,93
10,3,0,0.000459,clone,0.01,153
11,6,0,0.000416,close,0.01,69
12,6,0,0.000413,fstat64,0.01,69
13,6,0,0.000364,lseek,0.01,61
14,2,0,0.000316,munmap,0.01,158
15,4,0,0.000164,sched_setscheduler,0.00,41
16,3,0,0.000126,brk,0.00,42
17,2,0,0.000122,rt_sigaction,0.00,61
18,7,0,0.000106,sched_get_priority_min,0.00,15
19,2,0,0.000072,rt_sigprocmask,0.00,36
20,1,0,0.000063,uname,0.00,63
21,1,0,0.000061,getrlimit,0.00,61
22,1,0,0.000059,set_robust_list,0.00,59
23,1,0,0.000057,set_tid_address,0.00,57
24,6,0,0.000043,sched_get_priority_max,0.00,7
25,3,0,0.000040,sched_setaffinity,0.00,13
26,1,0,0.000021,sched_getaffinity,0.00,21
27,1,0,0.000014,_llseek,0.00,14
