,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,preempt_count_add,000,null,d,null,null,update_curr_rt,3,pi_stress-2435,182896.09238
1,preempt_count_sub,000,null,d,null,null,update_curr_rt,4,pi_stress-2435,182896.092382
2,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,3,pi_stress-2435,182896.092383
3,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,3,pi_stress-2435,182896.092384
4,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,3,pi_stress-2435,182896.092385
5,enqueue_task_rt,000,null,d,null,null,rt_mutex_setprio,3,pi_stress-2435,182896.092386
6,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2435,182896.092388
7,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,3,pi_stress-2435,182896.092389
8,preempt_count_add,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2435,182896.09239
9,preempt_count_sub,000,null,d,null,null,enqueue_task_rt,4,pi_stress-2435,182896.092391
10,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2435,182896.092392
11,prio_changed_rt,000,null,d,null,null,rt_mutex_setprio,3,pi_stress-2435,182896.092393
12,preempt_count_add,000,null,d,null,null,rt_mutex_setprio,3,pi_stress-2435,182896.092395
13,preempt_count_sub,000,null,d,null,null,rt_mutex_setprio,4,pi_stress-2435,182896.092396
14,preempt_count_sub,000,null,d,null,null,rt_mutex_setprio,3,pi_stress-2435,182896.092397
15,preempt_count_sub,000,null,d,null,null,task_blocks_on_rt_mutex,2,pi_stress-2435,182896.092398
16,preempt_count_sub,000,null,null,null,null,futex_lock_pi,1,pi_stress-2435,182896.092399
17,rt_mutex_wait_proxy_lock,000,null,null,null,null,futex_lock_pi,null,pi_stress-2435,182896.092401
18,preempt_count_add,000,null,d,null,null,rt_mutex_wait_proxy_lock,null,pi_stress-2435,182896.092402
19,__rt_mutex_slowlock,000,null,d,null,null,rt_mutex_wait_proxy_lock,1,pi_stress-2435,182896.092403
20,__try_to_take_rt_mutex,000,null,d,null,null,__rt_mutex_slowlock,1,pi_stress-2435,182896.092404
21,preempt_count_sub,000,null,null,null,null,__rt_mutex_slowlock,1,pi_stress-2435,182896.092405
22,schedule,000,null,null,null,null,__rt_mutex_slowlock,null,pi_stress-2435,182896.092407
23,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2435,182896.092408
24,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2435,182896.092409
25,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2435,182896.09241
26,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2435,182896.092411
27,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2435,182896.092413
28,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2435,182896.092414
29,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2435,182896.092415
30,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2435,182896.092416
31,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2435,182896.092417
32,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2435,182896.092418
33,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2435,182896.09242
34,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2435,182896.092421
35,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2435,182896.092422
36,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2435,182896.092423
37,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2435,182896.092424
38,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2435,182896.092425
39,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2435,182896.092426
40,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2435,182896.092428
41,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2435,182896.092429
42,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2435,182896.09243
43,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2435,182896.092431
44,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2435,182896.092433
45,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2435,182896.092433
46,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2435,182896.092436
47,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2435,182896.092438
48,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2435,182896.092439
