,Average delay ms,Maximum delay at,Maximum delay ms,Runtime ms,Switches,Task
0,2.787,76472.840161,6.878,0.000,15,sudo:32203
1,2.003,76522.099194,5.477,0.000,19,rs:mainQ:Reg:626
2,1.899,76526.101252,15.428,0.000,217,wicd:984
3,1.454,76489.531829,6.583,0.000,23,cron:(2)
4,1.288,76526.113808,4.071,0.000,65,systemd-journal:118
5,1.152,76489.547826,5.031,0.000,10,sh:32212
6,1.041,76491.075146,3.563,0.000,162,ifconfig:(12)
7,1.025,76489.742750,2.990,0.000,46,ps:32216
8,1.025,76526.096284,9.540,0.000,121,wicd-monitor:990
9,0.739,76522.103363,27.776,0.000,3867,sshd:(17)
10,0.159,76472.856504,16.343,0.000,63479,.koworker:(6)
11,0.146,76526.744098,0.349,0.000,4,systemd:1
12,0.130,76506.754590,1.027,0.000,24,avahi-daemon:500
13,0.080,76506.013923,1.187,0.000,90,dbus-daemon:518
14,0.079,76498.716934,0.198,0.000,3,kworker/0:1H:96
15,0.077,76528.448965,0.235,0.000,16,kworker/0:1:32113
16,0.037,76496.938991,0.273,0.000,340,kworker/u2:1:27770
17,0.029,76530.244384,0.052,0.000,10,mmcqd/1:89
18,0.029,76529.529791,0.048,0.000,86,ksoftirqd/0:7
19,0.027,76523.982734,5.840,0.000,11916,cyclictest:(2)
20,0.024,76505.575779,0.048,0.000,2,kworker/u2:0:32178
21,0.014,76475.360735,0.029,0.000,2,irq/31-44e0b000:90
22,0.000,0.000000,0.000,0.000,1,rsyslogd:627
23,0.000,0.000000,0.000,0.000,1,ptp0:1120
24,0.000,0.000000,0.000,0.000,1,kworker/0:2:25061
25,0.000,0.000000,0.000,0.000,1,khungtaskd:12
26,0.000,0.000000,0.000,0.000,1,jbd2/mmcblk1p2-:97
27,0.000,0.000000,0.000,0.000,1,apache2:808
