,parameter,process_name,process_time
0,0,brk,0.001775
1,3,close,0.000153
2,3,close,0.000268
3,3,close,0.000203
4,3,close,0.000213
5,0xb6f9e068,set_tid_address,0.000226
6,3,close,0.000365
7,SCHED_FIFO,sched_get_priority_min,0.000312
8,0,brk,0.000415
9,0x14b8000,brk,0.000156
10,SCHED_FIFO,sched_get_priority_min,0.000183
11,SCHED_FIFO,sched_get_priority_max,0.000120
12,SCHED_FIFO,sched_get_priority_min,0.000135
13,SCHED_FIFO,sched_get_priority_max,0.000098
14,SCHED_FIFO,sched_get_priority_min,0.000173
15,SCHED_FIFO,sched_get_priority_max,0.000109
16,SCHED_FIFO,sched_get_priority_min,0.000122
17,SCHED_FIFO,sched_get_priority_max,0.000254
18,SCHED_FIFO,sched_get_priority_min,0.000140
19,SCHED_FIFO,sched_get_priority_max,0.000103
20,SCHED_FIFO,sched_get_priority_min,0.000119
21,SCHED_FIFO,sched_get_priority_max,0.000099
22,3,close,0.000124
23,0,exit_group,0.000198
