,Overhead,Preempted process,Preempted process id,Preempted unknown,Preempting process,Preempting process id,Preempting unknown,Scheduled status
0,12.56%,cyclictest,32268,120,kworker/u2,1,120,R
1,11.98%,.koworker,1019,120,cyclictest,32269,0,R
2,11.90%,.koworker,1016,120,cyclictest,32269,0,R
3,11.40%,cyclictest,32269,0,.koworker,1019,120,S
4,11.33%,cyclictest,32269,0,.koworker,1016,120,S
5,10.02%,kworker/u2,1,120,cyclictest,32268,120,t
6,2.49%,cyclictest,32268,120,sshd,27636,120,S
7,2.40%,ksoftirqd/0,7,120,cyclictest,32268,120,S
8,2.29%,kworker/u2,1,120,ksoftirqd/0,7,120,t
9,2.25%,sshd,27636,120,.koworker,1014,120,S
10,1.32%,cyclictest,32269,0,ksoftirqd/0,7,120,S
11,1.27%,.koworker,1014,120,.koworker,1019,120,S
12,1.25%,.koworker,1014,120,.koworker,1016,120,S
13,1.12%,.koworker,1016,120,cyclictest,32268,120,R
14,1.11%,.koworker,1019,120,cyclictest,32268,120,R
15,0.91%,cyclictest,32269,0,cyclictest,32268,120,S
16,0.91%,cyclictest,32268,120,cyclictest,32269,0,R
17,0.86%,sshd,27636,120,cyclictest,32269,0,R
18,0.79%,cyclictest,32269,0,sshd,27636,120,S
19,0.75%,.koworker,1019,120,kworker/0,1,120,R
20,0.73%,.koworker,1016,120,kworker/0,1,120,R
21,0.69%,kworker/0,1,120,.koworker,1019,120,t
22,0.67%,kworker/0,1,120,.koworker,1016,120,t
23,0.51%,ksoftirqd/0,7,120,.koworker,1016,120,S
24,0.51%,.koworker,1016,120,kworker/0,0,120,R
25,0.48%,ksoftirqd/0,7,120,.koworker,1019,120,S
26,0.47%,.koworker,1019,120,kworker/0,0,120,R
27,0.46%,kworker/0,0,120,.koworker,1016,120,t
28,0.44%,kworker/0,0,120,.koworker,1019,120,t
29,0.32%,sshd,27636,120,cyclictest,32268,120,S
30,0.31%,kworker/u2,1,120,sshd,27636,120,t
31,0.26%,kworker/u2,1,120,cyclictest,32269,0,R
32,0.26%,cyclictest,32269,0,kworker/u2,1,120,S
33,0.23%,cyclictest,32269,0,.koworker,1014,120,S
