,Overhead,Preempted process,Preempted process id,Preempted unknown,Preempting process,Preempting process id,Preempting unknown,Scheduled status
34,0.18%,.koworker,1014,120,cyclictest,32269,0,R
35,0.13%,perf,32266,120,cyclictest,32269,0,R
36,0.13%,ksoftirqd/0,7,120,kworker/u2,1,120,S
37,0.13%,cyclictest,32269,0,perf,32266,120,S
38,0.13%,ksoftirqd/0,7,120,sshd,27636,120,S
39,0.12%,.koworker,1019,120,.koworker,1014,120,R
40,0.11%,sshd,27636,120,.koworker,1019,120,S
41,0.10%,ksoftirqd/0,7,120,cyclictest,32269,0,R
42,0.09%,kworker/0,1,120,ksoftirqd/0,7,120,t
43,0.09%,kworker/0,1,120,cyclictest,32268,120,t
44,0.08%,wicd,984,120,cyclictest,32269,0,R
45,0.07%,cyclictest,32269,0,wicd,984,120,S
46,0.07%,.koworker,1016,120,.koworker,1014,120,R
47,0.07%,sshd,27636,120,.koworker,1016,120,S
48,0.06%,kworker/0,0,120,cyclictest,32268,120,t
49,0.06%,.koworker,1016,120,ksoftirqd/0,7,120,R
50,0.06%,cyclictest,32268,120,kworker/0,1,120,R
51,0.05%,cyclictest,32269,0,wicd-monitor,990,120,S
52,0.05%,kworker/0,0,120,ksoftirqd/0,7,120,t
53,0.05%,.koworker,1019,120,ksoftirqd/0,7,120,R
54,0.05%,sshd,27636,120,kworker/0,1,120,R
55,0.05%,sshd,32270,120,cyclictest,32269,0,R
56,0.05%,sshd,32278,120,cyclictest,32269,0,R
57,0.04%,sshd,32292,120,cyclictest,32269,0,R
58,0.04%,cyclictest,32269,0,sshd,32270,120,S
59,0.04%,cyclictest,32269,0,kworker/0,1,120,S
60,0.04%,cyclictest,32269,0,sshd,32292,120,S
61,0.04%,cyclictest,32268,120,kworker/0,0,120,R
62,0.04%,cyclictest,32269,0,sshd,32278,120,S
63,0.04%,kworker/0,1,120,sshd,27636,120,t
64,0.04%,cyclictest,32269,0,dbus-daemon,518,120,S
65,0.04%,dbus-daemon,518,120,cyclictest,32269,0,R
66,0.04%,ksoftirqd/0,7,120,kworker/0,1,120,S
67,0.03%,.koworker,1014,120,cyclictest,32269,0,S
68,0.03%,sshd,27636,120,kworker/0,0,120,R
69,0.03%,sshd,32273,120,cyclictest,32269,0,R
70,0.03%,kworker/0,1,120,cyclictest,32269,0,R
71,0.03%,sshd,32279,120,cyclictest,32269,0,R
72,0.03%,wicd-monitor,990,120,wicd,984,120,S
73,0.03%,.koworker,32287,120,.koworker,1016,120,S
74,0.03%,cyclictest,32268,120,.koworker,1014,120,S
75,0.03%,dbus-daemon,518,120,wicd-monitor,990,120,S
76,0.03%,kworker/0,0,120,sshd,27636,120,t
77,0.03%,sshd,32293,120,cyclictest,32269,0,R
78,0.03%,kworker/0,1,120,.koworker,1019,120,D
79,0.03%,kworker/u2,1,120,.koworker,1019,120,t
80,0.03%,wicd-monitor,990,120,cyclictest,32269,0,R
81,0.03%,.koworker,32287,120,.koworker,32286,120,S
82,0.03%,cyclictest,32269,0,kworker/0,0,120,S
83,0.03%,cyclictest,32269,0,sshd,32279,120,S
84,0.03%,cyclictest,32269,0,sshd,32293,120,S
85,0.03%,.koworker,1019,120,mmcqd/1,89,120,R
86,0.03%,wicd,984,120,dbus-daemon,518,120,R
87,0.03%,kworker/0,1,120,.koworker,1016,120,D
88,0.03%,cyclictest,32269,0,sshd,32273,120,S
89,0.03%,cyclictest,32269,0,apache2,808,120,S
90,0.03%,wicd-monitor,990,120,dbus-daemon,518,120,R
91,0.02%,.koworker,32286,120,.koworker,32287,120,R
92,0.02%,ps,32289,120,cyclictest,32269,0,R
93,0.02%,ksoftirqd/0,7,120,wicd,984,120,S
94,0.02%,.koworker,1016,120,.koworker,32287,120,R
95,0.02%,cyclictest,32269,0,ps,32289,120,S
96,0.02%,ksoftirqd/0,7,120,kworker/0,0,120,S
97,0.02%,mmcqd/1,89,120,.koworker,1019,120,S
98,0.02%,kworker/0,0,120,cyclictest,32269,0,R
99,0.02%,kworker/0,0,120,.koworker,1016,120,D
100,0.02%,kworker/0,0,120,.koworker,1019,120,D
101,0.02%,.koworker,32286,120,cyclictest,32269,0,R
102,0.02%,perf,32266,120,.koworker,1019,120,S
103,0.01%,ksoftirqd/0,7,120,.koworker,1014,120,S
104,0.01%,systemd-journal,118,120,cyclictest,32269,0,R
105,0.01%,cyclictest,32268,120,cyclictest,32269,0,S
106,0.01%,.koworker,1019,120,perf,32266,120,R
107,0.01%,perf,32266,120,.koworker,1016,120,S
108,0.01%,ksoftirqd/0,7,120,avahi-daemon,500,120,S
109,0.01%,mmcqd/1,89,120,cyclictest,32269,0,R
110,0.01%,.koworker,1019,120,.koworker,1016,120,S
111,0.01%,kworker/0,1,120,.koworker,1014,120,t
112,0.01%,.koworker,1016,120,perf,32266,120,R
113,0.01%,.koworker,1016,120,.koworker,1019,120,S
114,0.01%,apache2,808,120,.koworker,1016,120,S
115,0.01%,cyclictest,32269,0,.koworker,32286,120,S
116,0.01%,cyclictest,32269,0,avahi-daemon,500,120,S
117,0.01%,ksoftirqd/0,7,120,systemd-journal,118,120,S
118,0.01%,kworker/u2,1,120,cyclictest,32269,0,t
119,0.01%,kworker/u2,1,120,kworker/0,1,120,t
120,0.01%,mmcqd/1,89,120,kworker/0,1H,100,R
121,0.01%,.koworker,1016,120,.koworker,1019,120,R
122,0.01%,jbd2/mmcblk1p2-,97,120,mmcqd/1,89,120,D
123,0.01%,.koworker,1019,120,.koworker,1016,120,R
124,0.01%,apache2,808,120,.koworker,1019,120,S
125,0.01%,cron,32284,120,cyclictest,32269,0,R
126,0.01%,perf,32266,120,cyclictest,32268,120,S
127,0.01%,avahi-daemon,500,120,.koworker,1016,120,S
128,0.01%,dbus-daemon,518,120,.koworker,1019,120,S
129,0.01%,cyclictest,32269,0,cron,32284,120,S
130,0.01%,kworker/0,1,120,perf,32266,120,t
131,0.01%,kworker/0,1H,100,mmcqd/1,89,120,t
132,0.01%,sshd,27636,120,sshd,32270,120,S
133,0.01%,sshd,27636,120,sshd,32292,120,S
134,0.01%,sshd,27636,120,wicd,984,120,S
135,0.01%,ksoftirqd/0,7,120,sshd,32270,120,S
136,0.01%,sshd,27636,120,sshd,32278,120,S
137,0.01%,cyclictest,32269,0,mmcqd/1,89,120,S
138,0.01%,dbus-daemon,518,120,.koworker,1016,120,S
139,0.01%,.koworker,1016,120,mmcqd/1,89,120,R
140,0.01%,avahi-daemon,500,120,cyclictest,32269,0,R
141,0.01%,avahi-daemon,500,120,.koworker,1019,120,S
142,0.01%,wicd,984,120,ksoftirqd/0,7,120,S
143,0.01%,.koworker,1014,120,kworker/0,1,120,R
144,0.01%,cyclictest,32269,0,.koworker,32287,120,S
145,0.01%,cyclictest,32269,0,jbd2/mmcblk1p2-,97,120,S
146,0.01%,ksoftirqd/0,7,120,sshd,19316,120,S
147,0.01%,kworker/0,0,120,.koworker,1014,120,t
148,0.01%,sshd,27636,120,ksoftirqd/0,7,120,R
149,0.01%,sshd,27636,120,wicd-monitor,990,120,S
150,0.01%,ksoftirqd/0,7,120,sshd,32273,120,S
151,0.01%,mmcqd/1,89,120,.koworker,1016,120,S
152,0.01%,sshd,32270,120,kworker/0,1,120,R
153,0.01%,kworker/u2,1,120,.koworker,1016,120,t
154,0.01%,kworker/u2,1,120,kworker/0,0,120,t
155,0.01%,rs:mainQ:Reg,626,120,cyclictest,32269,0,R
156,0.01%,sshd,32292,120,kworker/0,0,120,R
157,0.01%,dbus-daemon,518,120,.koworker,1014,120,S
158,0.01%,ksoftirqd/0,7,120,cyclictest,32269,0,S
159,0.01%,ksoftirqd/0,7,120,perf,32266,120,S
160,0.01%,mmcqd/1,89,120,.koworker,1019,120,D
161,0.01%,sshd,27636,120,cyclictest,32269,0,S
162,0.01%,sshd,32278,120,kworker/0,1,120,R
163,0.01%,wicd,984,120,cyclictest,32268,120,R
164,0.01%,.koworker,1014,120,kworker/0,0,120,R
165,0.01%,.koworker,1016,120,avahi-daemon,500,120,R
166,0.01%,cyclictest,32269,0,sshd,19316,120,S
167,0.01%,ksoftirqd/0,7,120,sshd,32279,120,S
168,0.01%,kworker/0,0,120,perf,32266,120,t
169,0.01%,sshd,19316,120,cyclictest,32269,0,R
170,0.01%,sshd,32279,120,sshd,32278,120,S
171,0.01%,ksoftirqd/0,7,120,sshd,32278,120,S
172,0.01%,kworker/0,0,120,wicd,984,120,t
173,0.01%,mmcqd/1,89,120,perf,32266,120,S
174,0.01%,sshd,19316,120,.koworker,1016,120,S
175,0.01%,sshd,32270,120,cyclictest,32268,120,R
176,0.01%,sshd,32273,120,sshd,32270,120,S
177,0.01%,sshd,32279,120,kworker/0,1,120,R
178,0.01%,wicd-monitor,990,120,dbus-daemon,518,120,S
179,0.01%,wicd,984,120,kworker/0,1,120,R
180,0.00%,cyclictest,32269,0,wicd,32275,120,S
181,0.00%,ksoftirqd/0,7,120,dbus-daemon,518,120,S
182,0.00%,ksoftirqd/0,7,120,ps,32289,120,S
183,0.00%,mmcqd/1,89,120,jbd2/mmcblk1p2-,97,120,S
184,0.00%,sshd,27636,120,sshd,32279,120,S
185,0.00%,sshd,32278,120,cyclictest,32268,120,R
186,0.00%,sshd,32292,120,cyclictest,32268,120,R
187,0.00%,wicd,32275,120,cyclictest,32269,0,R
188,0.00%,wicd,984,120,ksoftirqd/0,7,120,R
189,0.00%,cyclictest,32268,120,kworker/u2,0,120,R
190,0.00%,cyclictest,32269,0,Q,Reg,120,S
191,0.00%,cyclictest,32269,0,wicd,32271,120,S
192,0.00%,irq/31-44e0b000,90,49,kworker/0,1,120,S
193,0.00%,kworker/0,1,120,cyclictest,32268,120,D
194,0.00%,kworker/0,1,120,wicd-monitor,990,120,t
195,0.00%,ps,32289,120,ksoftirqd/0,7,120,R
196,0.00%,rsyslogd,627,120,Q,Reg,120,S
197,0.00%,sshd,27636,120,sshd,32273,120,S
198,0.00%,sshd,27636,120,sshd,32293,120,S
199,0.00%,wicd,32274,120,cyclictest,32269,0,R
200,0.00%,wicd,32277,120,cyclictest,32269,0,R
201,0.00%,wicd,32282,120,cyclictest,32269,0,R
202,0.00%,cyclictest,32269,0,wicd,32274,120,S
203,0.00%,cyclictest,32269,0,wicd,32294,120,S
204,0.00%,dbus-daemon,518,120,cyclictest,32268,120,S
205,0.00%,dbus-daemon,518,120,wicd,984,120,S
206,0.00%,ifconfig,32272,120,cyclictest,32269,0,R
207,0.00%,ksoftirqd/0,7,120,rsyslogd,627,120,S
208,0.00%,kworker/0,1,120,sshd,32279,120,t
209,0.00%,kworker/0,1,120,wicd,984,120,t
210,0.00%,sshd,32270,120,sshd,32273,120,R
211,0.00%,wicd-monitor,990,120,cyclictest,32268,120,R
212,0.00%,wicd,32271,120,cyclictest,32269,0,R
213,0.00%,wicd,32276,120,cyclictest,32269,0,R
214,0.00%,wicd,32283,120,cyclictest,32269,0,R
215,0.00%,wicd,32291,120,cyclictest,32269,0,R
216,0.00%,avahi-daemon,500,120,ksoftirqd/0,7,120,S
217,0.00%,cyclictest,32269,0,systemd-journal,118,120,S
218,0.00%,cyclictest,32269,0,wicd,32276,120,S
219,0.00%,cyclictest,32269,0,wicd,32277,120,S
220,0.00%,cyclictest,32269,0,wicd,32280,120,S
221,0.00%,cyclictest,32269,0,wicd,32282,120,S
222,0.00%,cyclictest,32269,0,wicd,32283,120,S
223,0.00%,cyclictest,32269,0,wicd,32291,120,S
224,0.00%,ifconfig,32275,120,cyclictest,32269,0,R
225,0.00%,ksoftirqd/0,7,120,.koworker,32287,120,S
226,0.00%,ksoftirqd/0,7,120,mmcqd/1,89,120,S
227,0.00%,kworker/0,0,120,ksoftirqd/0,7,120,D
228,0.00%,kworker/0,1,120,sshd,32270,120,t
229,0.00%,kworker/0,1,120,sshd,32278,120,t
230,0.00%,kworker/0,1H,100,jbd2/mmcblk1p2-,97,120,t
231,0.00%,kworker/u2,0,120,cyclictest,32268,120,t
232,0.00%,kworker/u2,1,120,.koworker,1014,120,t
233,0.00%,sshd,32278,120,ksoftirqd/0,7,120,R
234,0.00%,sshd,32278,120,sshd,32279,120,R
235,0.00%,sshd,32293,120,cyclictest,32268,120,R
236,0.00%,systemd-journal,118,120,ksoftirqd/0,7,120,S
237,0.00%,wicd,32272,120,cyclictest,32269,0,R
238,0.00%,wicd,32290,120,cyclictest,32269,0,R
239,0.00%,wicd,32294,120,cyclictest,32269,0,R
240,0.00%,.koworker,1014,120,ps,32289,120,S
241,0.00%,.koworker,1019,120,avahi-daemon,500,120,R
242,0.00%,cyclictest,32269,0,ifconfig,32272,120,S
243,0.00%,cyclictest,32269,0,ifconfig,32277,120,S
244,0.00%,cyclictest,32269,0,ifconfig,32282,120,S
245,0.00%,cyclictest,32269,0,ifconfig,32283,120,S
246,0.00%,cyclictest,32269,0,wicd,32272,120,S
247,0.00%,cyclictest,32269,0,wicd,32290,120,S
248,0.00%,ifconfig,32274,120,cyclictest,32269,0,R
249,0.00%,ifconfig,32277,120,cyclictest,32269,0,R
250,0.00%,ifconfig,32282,120,cyclictest,32269,0,R
251,0.00%,ifconfig,32294,120,cyclictest,32269,0,R
252,0.00%,jbd2/mmcblk1p2-,97,120,cyclictest,32269,0,R
253,0.00%,sshd,32273,120,cyclictest,32268,120,R
254,0.00%,wicd-monitor,990,120,kworker/0,1,120,R
255,0.00%,wicd,32280,120,cyclictest,32269,0,R
256,0.00%,cyclictest,32268,120,.koworker,1019,120,S
257,0.00%,cyclictest,32269,0,ifconfig,32271,120,S
258,0.00%,cyclictest,32269,0,ifconfig,32274,120,S
259,0.00%,cyclictest,32269,0,ifconfig,32275,120,S
260,0.00%,cyclictest,32269,0,ifconfig,32280,120,S
261,0.00%,cyclictest,32269,0,ifconfig,32291,120,S
262,0.00%,cyclictest,32269,0,sshd,740,120,S
263,0.00%,ifconfig,32276,120,cyclictest,32269,0,R
264,0.00%,ifconfig,32283,120,cyclictest,32269,0,R
265,0.00%,ifconfig,32290,120,cyclictest,32269,0,R
266,0.00%,ifconfig,32291,120,cyclictest,32269,0,R
267,0.00%,irq/31-44e0b000,90,49,kworker/0,0,120,S
268,0.00%,ksoftirqd/0,7,120,sshd,32292,120,S
269,0.00%,ksoftirqd/0,7,120,sshd,740,120,S
270,0.00%,kworker/0,1,120,kworker/u2,1,120,t
271,0.00%,kworker/0,1,120,sshd,32273,120,t
272,0.00%,mmcqd/1,89,120,cyclictest,32268,120,S
273,0.00%,ps,32289,120,kworker/0,0,120,R
274,0.00%,sshd,32270,120,ksoftirqd/0,7,120,R
275,0.00%,sshd,32273,120,kworker/0,1,120,R
276,0.00%,sshd,32279,120,cyclictest,32268,120,R
277,0.00%,sudo,32267,120,ksoftirqd/0,7,120,R
278,0.00%,wicd,984,120,.koworker,1016,120,S
279,0.00%,wicd,984,120,.koworker,1019,120,S
280,0.00%,.koworker,1014,120,.koworker,32287,120,S
281,0.00%,.koworker,1019,120,irq/31-44e0b000,90,49,R
282,0.00%,.koworker,32287,120,.koworker,32288,120,S
283,0.00%,.koworker,32288,120,.koworker,32287,120,S
284,0.00%,avahi-daemon,500,120,cyclictest,32268,120,S
285,0.00%,cyclictest,32269,0,ifconfig,32276,120,S
286,0.00%,cyclictest,32269,0,ifconfig,32294,120,S
287,0.00%,dbus-daemon,518,120,kworker/0,0,120,R
288,0.00%,ifconfig,32277,120,ksoftirqd/0,7,120,R
289,0.00%,jbd2/mmcblk1p2-,97,120,kworker/0,1H,100,D
290,0.00%,ksoftirqd/0,7,120,.koworker,32288,120,S
291,0.00%,ksoftirqd/0,7,120,cron,32284,120,S
292,0.00%,ksoftirqd/0,7,120,sshd,32293,120,S
293,0.00%,kworker/0,0,120,cyclictest,32268,120,D
294,0.00%,kworker/0,0,120,dbus-daemon,518,120,t
295,0.00%,kworker/0,0,120,sshd,32293,120,t
296,0.00%,kworker/0,1,120,cyclictest,32269,0,D
297,0.00%,perf,32266,120,kworker/0,0,120,R
298,0.00%,perf,32266,120,sshd,27636,120,S
299,0.00%,rs:mainQ:Reg,626,120,systemd-journal,118,120,S
300,0.00%,sh,32285,120,cyclictest,32269,0,R
301,0.00%,sshd,32292,120,ksoftirqd/0,7,120,R
302,0.00%,sshd,32293,120,sshd,32292,120,S
303,0.00%,sshd,740,120,cyclictest,32269,0,R
304,0.00%,wicd,984,120,kworker/0,0,120,R
305,0.00%,.koworker,1014,120,cron,32284,120,S
306,0.00%,.koworker,1016,120,irq/31-44e0b000,90,49,R
307,0.00%,.koworker,1016,120,sudo,32267,120,R
308,0.00%,.koworker,1019,120,kworker/u2,1,120,R
309,0.00%,.koworker,32287,120,cyclictest,32269,0,R
310,0.00%,.koworker,32288,120,cyclictest,32269,0,R
311,0.00%,.koworker,32288,120,.koworker,32286,120,S
312,0.00%,cron,32284,120,kworker/0,0,120,R
313,0.00%,cron,32285,120,cyclictest,32269,0,R
314,0.00%,cyclictest,32268,120,.koworker,1016,120,S
315,0.00%,cyclictest,32269,0,cron,32285,120,S
316,0.00%,cyclictest,32269,0,irq/31-44e0b000,90,49,S
317,0.00%,cyclictest,32269,0,nohup,32286,120,S
318,0.00%,cyclictest,32269,0,sh,32285,120,S
319,0.00%,ifconfig,32271,120,cyclictest,32269,0,R
320,0.00%,ifconfig,32274,120,ksoftirqd/0,7,120,R
321,0.00%,ifconfig,32280,120,cyclictest,32269,0,R
322,0.00%,ifconfig,32280,120,ksoftirqd/0,7,120,R
323,0.00%,jbd2/mmcblk1p2-,97,120,perf,32266,120,S
324,0.00%,ksoftirqd/0,7,120,.koworker,32286,120,S
325,0.00%,ksoftirqd/0,7,120,jbd2/mmcblk1p2-,97,120,S
326,0.00%,ksoftirqd/0,7,120,sudo,32267,120,S
327,0.00%,kworker/0,0,120,cyclictest,32269,0,D
328,0.00%,kworker/0,1,120,ksoftirqd/0,7,120,D
329,0.00%,kworker/0,1,120,irq/31-44e0b000,90,49,R
330,0.00%,kworker/0,1,120,cyclictest,32269,0,t
331,0.00%,kworker/u2,1,120,mmcqd/1,89,120,t
332,0.00%,kworker/u2,1,120,ptp0,1120,120,t
333,0.00%,nohup,32286,120,cyclictest,32269,0,R
334,0.00%,perf,32266,120,.koworker,1019,120,D
335,0.00%,perf,32266,120,mmcqd/1,89,120,R
336,0.00%,ptp0,1120,120,ksoftirqd/0,7,120,S
337,0.00%,ptp0,1120,120,kworker/u2,1,120,S
338,0.00%,sshd,19316,120,ksoftirqd/0,7,120,S
339,0.00%,sshd,32273,120,.koworker,1019,120,S
340,0.00%,sshd,32293,120,kworker/0,0,120,R
341,0.00%,.koworker,1014,120,kworker/0,0,120,S
342,0.00%,.koworker,32286,120,.koworker,32288,120,R
343,0.00%,.koworker,32286,120,kworker/0,0,120,R
344,0.00%,apache2,808,120,cyclictest,32268,120,S
345,0.00%,apache2,808,120,sshd,27636,120,S
346,0.00%,avahi-daemon,500,120,cyclictest,32269,0,S
347,0.00%,cyclictest,32268,120,ksoftirqd/0,7,120,R
348,0.00%,cyclictest,32268,120,kworker/0,1,120,S
349,0.00%,cyclictest,32269,0,ifconfig,32290,120,S
350,0.00%,cyclictest,32269,0,ptp0,1120,120,S
351,0.00%,cyclictest,32269,0,sh,32286,120,S
352,0.00%,dbus-daemon,518,120,kworker/0,1,120,R
353,0.00%,ifconfig,32271,120,ksoftirqd/0,7,120,R
354,0.00%,ifconfig,32272,120,ksoftirqd/0,7,120,R
355,0.00%,ifconfig,32276,120,ksoftirqd/0,7,120,R
356,0.00%,ifconfig,32283,120,ksoftirqd/0,7,120,R
357,0.00%,ifconfig,32290,120,ksoftirqd/0,7,120,R
358,0.00%,ifconfig,32291,120,ksoftirqd/0,7,120,R
359,0.00%,ifconfig,32294,120,ksoftirqd/0,7,120,R
360,0.00%,irq/31-44e0b000,90,49,cyclictest,32269,0,R
361,0.00%,jbd2/mmcblk1p2-,97,120,.koworker,1019,120,S
362,0.00%,ksoftirqd/0,7,120,ifconfig,32274,120,S
363,0.00%,kworker/0,0,120,perf,32266,120,D
364,0.00%,kworker/0,0,120,.koworker,32287,120,t
365,0.00%,kworker/0,0,120,ps,32289,120,t
366,0.00%,kworker/0,0,120,sshd,32292,120,t
367,0.00%,kworker/0,1,120,sshd,27636,120,D
368,0.00%,kworker/0,1,120,dbus-daemon,518,120,t
369,0.00%,kworker/0,1,120,jbd2/mmcblk1p2-,97,120,t
370,0.00%,mmcqd/1,89,120,.koworker,1014,120,S
371,0.00%,sshd,27636,120,mmcqd/1,89,120,R
372,0.00%,sshd,32278,120,.koworker,1016,120,S
373,0.00%,sshd,740,120,ksoftirqd/0,7,120,S
374,0.00%,sudo,32267,120,kworker/0,1,120,R
375,0.00%,wicd-monitor,990,120,cyclictest,32269,0,S
376,0.00%,wicd,984,120,ifconfig,32290,120,S
377,0.00%,.koworker,1014,120,.koworker,32286,120,S
378,0.00%,.koworker,1016,120,kworker/u2,1,120,R
379,0.00%,.koworker,32286,120,ksoftirqd/0,7,120,R
380,0.00%,.koworker,32286,120,.koworker,1016,120,S
381,0.00%,.koworker,32287,120,.koworker,32288,120,R
382,0.00%,.koworker,32287,120,ps,32289,120,S
383,0.00%,.koworker,32288,120,ksoftirqd/0,7,120,S
384,0.00%,avahi-daemon,500,120,sshd,32278,120,S
385,0.00%,avahi-daemon,500,120,sshd,32292,120,S
386,0.00%,cron,32284,120,ksoftirqd/0,7,120,R
387,0.00%,cyclictest,32268,120,mmcqd/1,89,120,R
388,0.00%,cyclictest,32268,120,sshd,32278,120,S
389,0.00%,cyclictest,32269,0,.koworker,32288,120,S
390,0.00%,cyclictest,32269,0,.koworker,32289,120,S
391,0.00%,cyclictest,32269,0,kworker/0,2,120,S
392,0.00%,ifconfig,32275,120,ksoftirqd/0,7,120,R
393,0.00%,ifconfig,32280,120,kworker/0,1,120,R
394,0.00%,ifconfig,32282,120,ksoftirqd/0,7,120,R
395,0.00%,ifconfig,32283,120,cyclictest,32268,120,R
396,0.00%,irq/31-44e0b000,90,49,ksoftirqd/0,7,120,S
397,0.00%,ksoftirqd/0,7,120,apache2,808,120,S
398,0.00%,ksoftirqd/0,7,120,ifconfig,32272,120,S
399,0.00%,ksoftirqd/0,7,120,ifconfig,32277,120,S
400,0.00%,ksoftirqd/0,7,120,ifconfig,32280,120,S
401,0.00%,ksoftirqd/0,7,120,ifconfig,32282,120,S
402,0.00%,ksoftirqd/0,7,120,ifconfig,32283,120,S
403,0.00%,ksoftirqd/0,7,120,ifconfig,32291,120,S
404,0.00%,ksoftirqd/0,7,120,ifconfig,32294,120,S
405,0.00%,ksoftirqd/0,7,120,Q,Reg,120,S
406,0.00%,ksoftirqd/0,7,120,wicd-monitor,990,120,S
407,0.00%,ksoftirqd/0,7,120,wicd,32290,120,S
408,0.00%,kworker/0,0,120,sshd,27636,120,D
409,0.00%,kworker/0,0,120,irq/31-44e0b000,90,49,R
410,0.00%,kworker/0,0,120,ptp0,1120,120,t
411,0.00%,kworker/0,0,120,wicd-monitor,990,120,t
412,0.00%,kworker/0,1,120,ifconfig,32275,120,t
413,0.00%,kworker/0,1,120,sudo,32267,120,t
414,0.00%,kworker/0,1,120,wicd,32274,120,t
415,0.00%,kworker/u2,0,120,ksoftirqd/0,7,120,t
416,0.00%,mmcqd/1,89,120,ksoftirqd/0,7,120,R
417,0.00%,mmcqd/1,89,120,sshd,27636,120,S
418,0.00%,perf,32266,120,.koworker,1016,120,D
419,0.00%,perf,32266,120,jbd2/mmcblk1p2-,97,120,R
420,0.00%,perf,32266,120,kworker/0,1,120,R
421,0.00%,ptp0,1120,120,.koworker,1016,120,S
422,0.00%,rs:mainQ:Reg,626,120,cyclictest,32268,120,S
423,0.00%,rs:mainQ:Reg,626,120,sudo,32267,120,S
424,0.00%,sshd,19316,120,cyclictest,32268,120,S
425,0.00%,sshd,27636,120,perf,32266,120,R
426,0.00%,sshd,27636,120,.koworker,32287,120,S
427,0.00%,sshd,27636,120,avahi-daemon,500,120,S
428,0.00%,sshd,27636,120,cron,32284,120,S
429,0.00%,sshd,27636,120,ifconfig,32276,120,S
430,0.00%,sshd,27636,120,ifconfig,32277,120,S
431,0.00%,sshd,27636,120,kworker/0,1,120,S
432,0.00%,sshd,27636,120,systemd-journal,118,120,S
433,0.00%,sshd,27636,120,wicd,32291,120,S
434,0.00%,sshd,27636,120,wicd,32294,120,S
435,0.00%,sshd,32270,120,avahi-daemon,500,120,R
436,0.00%,sshd,32270,120,.koworker,1019,120,S
437,0.00%,sshd,32270,120,ksoftirqd/0,7,120,S
438,0.00%,sshd,32270,120,sshd,32273,120,S
439,0.00%,sshd,32278,120,sshd,32279,120,S
440,0.00%,sshd,32279,120,sshd,32278,120,R
441,0.00%,sshd,32292,120,sshd,32293,120,R
442,0.00%,sshd,32292,120,.koworker,1016,120,S
443,0.00%,sshd,32292,120,sshd,32293,120,S
444,0.00%,sshd,32293,120,sshd,32292,120,R
445,0.00%,sshd,32293,120,.koworker,1016,120,S
446,0.00%,sshd,32293,120,.koworker,1019,120,S
447,0.00%,systemd-journal,118,120,kworker/0,1,120,R
448,0.00%,wicd-monitor,990,120,kworker/0,0,120,R
449,0.00%,wicd,32275,120,cyclictest,32268,120,R
450,0.00%,wicd,32294,120,cyclictest,32268,120,R
451,0.00%,wicd,984,120,ifconfig,32271,120,S
452,0.00%,wicd,984,120,ifconfig,32275,120,S
453,0.00%,wicd,984,120,ifconfig,32276,120,S
454,0.00%,.koworker,1014,120,mmcqd/1,89,120,R
455,0.00%,.koworker,1014,120,sh,32285,120,S
456,0.00%,.koworker,1016,120,cron,772,120,R
457,0.00%,.koworker,1016,120,ptp0,1120,120,R
