,parameter,process_name,process_time
0,0,brk,0.004125
1,3,close,0.000463
2,3,close,0.000666
3,3,close,0.000589
4,3,close,0.000587
5,0xb6f95068,set_tid_address,0.000575
6,3,close,0.001225
7,SCHED_FIFO,sched_get_priority_min,0.000827
8,0,brk,0.001606
9,0x37000,brk,0.000461
10,SCHED_FIFO,sched_get_priority_min,0.003938
11,SCHED_FIFO,sched_get_priority_max,0.001185
12,SCHED_FIFO,sched_get_priority_min,0.000457
13,SCHED_FIFO,sched_get_priority_max,0.000327
14,SCHED_FIFO,sched_get_priority_min,0.000631
15,SCHED_FIFO,sched_get_priority_max,0.000401
16,SCHED_FIFO,sched_get_priority_min,0.000450
17,SCHED_FIFO,sched_get_priority_max,0.000331
18,SCHED_FIFO,sched_get_priority_min,0.000523
19,SCHED_FIFO,sched_get_priority_max,0.000395
20,SCHED_FIFO,sched_get_priority_min,0.000416
21,SCHED_FIFO,sched_get_priority_max,0.000327
22,3,close,0.000158
23,0,exit_group,0.000896
