,parameter,process_name,process_time
0,0,brk,0.006673
1,3,close,0.000493
2,3,close,0.000689
3,3,close,0.000715
4,3,close,0.000738
5,0xb6f11068,set_tid_address,0.002301
6,3,close,0.001088
7,SCHED_FIFO,sched_get_priority_min,0.001456
8,0,brk,0.001252
9,0x37000,brk,0.004391
10,SCHED_FIFO,sched_get_priority_min,0.000546
11,SCHED_FIFO,sched_get_priority_max,0.000415
12,SCHED_FIFO,sched_get_priority_min,0.000402
13,SCHED_FIFO,sched_get_priority_max,0.000420
14,SCHED_FIFO,sched_get_priority_min,0.001263
15,SCHED_FIFO,sched_get_priority_max,0.000456
16,SCHED_FIFO,sched_get_priority_min,0.000410
17,SCHED_FIFO,sched_get_priority_max,0.000321
18,SCHED_FIFO,sched_get_priority_min,0.000483
19,SCHED_FIFO,sched_get_priority_max,0.000382
20,SCHED_FIFO,sched_get_priority_min,0.003675
21,SCHED_FIFO,sched_get_priority_max,0.000332
22,3,close,0.000144
23,0,exit_group,0.000724
