,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
3223,run_timer_softirq,000,s,null,n,null,__do_softirq,null,pi_stress-1198,638.908668
3224,collect_expired_timers,000,s,d,n,null,run_timer_softirq,null,pi_stress-1198,638.908671
3225,run_timer_softirq.part.2,000,s,null,n,null,run_timer_softirq,null,pi_stress-1198,638.908674
3226,collect_expired_timers,000,s,d,n,null,run_timer_softirq.part.2,null,pi_stress-1198,638.908677
3227,rcu_bh_qs,000,s,null,n,null,__do_softirq,null,pi_stress-1198,638.90868
3228,__local_bh_enable,000,s,d,n,null,__do_softirq,null,pi_stress-1198,638.908684
3229,idle_cpu,000,null,d,n,null,irq_exit,null,pi_stress-1198,638.908687
3230,try_to_wake_up,000,null,null,n,null,__wake_up_q,null,pi_stress-1198,638.908692
3231,update_rq_clock,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.908696
3232,activate_task,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.9087
3233,enqueue_task_rt,000,null,d,n,null,activate_task,null,pi_stress-1198,638.908703
3234,dequeue_rt_stack,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.908706
3235,dequeue_top_rt_rq.constprop.9,000,null,d,n,null,dequeue_rt_stack,null,pi_stress-1198,638.908709
3236,enqueue_top_rt_rq.constprop.11,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.908712
3237,check_preempt_curr,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.908716
3238,check_preempt_curr_rt,000,null,d,n,null,check_preempt_curr,null,pi_stress-1198,638.908718
3239,resched_curr,000,null,d,n,null,check_preempt_curr_rt,null,pi_stress-1198,638.908722
3240,ttwu_do_wakeup.part.18,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.908725
3241,drop_futex_key_refs,000,null,null,n,null,futex_wake,null,pi_stress-1198,638.90873
3242,do_work_pending,000,null,d,n,null,slow_work_pending,null,pi_stress-1198,638.908734
3243,schedule,000,null,d,n,null,do_work_pending,null,pi_stress-1198,638.908737
3244,rcu_sched_qs,000,null,d,n,null,__schedule,null,pi_stress-1198,638.908741
3245,update_rq_clock,000,null,d,n,null,__schedule,null,pi_stress-1198,638.908744
3246,pick_next_task_dl,000,null,d,n,null,__schedule,null,pi_stress-1198,638.908747
3247,pick_next_task_rt,000,null,d,n,null,__schedule,null,pi_stress-1198,638.90875
3248,update_curr_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.908753
3249,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.908756
3250,cpuacct_charge,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.908759
3251,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.908763
3252,update_curr_rt,000,null,d,n,null,put_prev_task_rt,null,pi_stress-1198,638.908766
3253,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1198,638.908772
3254,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1198,638.908775
3255,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.908778
3256,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.908781
3257,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1200,638.908785
3258,_cond_resched,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1200,638.908789
3259,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.908792
3260,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1200,638.908802
3261,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1200,638.908805
3262,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-1200,638.908808
3263,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.908812
3264,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.908815
3265,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1200,638.908818
3266,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.908822
3267,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.908825
3268,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.908828
3269,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1200,638.908832
3270,rcu_sched_qs,000,null,d,null,null,__schedule,null,pi_stress-1200,638.908835
3271,update_rq_clock,000,null,d,null,null,__schedule,null,pi_stress-1200,638.908838
3272,deactivate_task,000,null,d,null,null,__schedule,null,pi_stress-1200,638.908842
3273,dequeue_task_rt,000,null,d,null,null,deactivate_task,null,pi_stress-1200,638.908845
3274,update_curr_rt,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.908848
