,calls,errors,seconds,syscall,time,usecs/call
0,2,0,1.667431,clock_nanosleep,33.75,833716
1,7,1,1.641555,futex,33.22,234508
2,4,0,1.627402,gettimeofday,32.94,406851
3,27,0,0.001137,write,0.02,42
4,1,0,0.000944,execve,0.02,944
5,6,0,0.000459,open,0.01,77
6,16,0,0.000430,mmap2,0.01,27
7,12,0,0.000402,read,0.01,34
8,3,0,0.000314,clone,0.01,105
9,10,0,0.000275,mprotect,0.01,28
10,2,0,0.000215,munmap,0.00,108
11,6,0,0.000127,close,0.00,21
12,5,5,0.000125,access,0.00,25
13,6,0,0.000111,fstat64,0.00,19
14,4,0,0.000058,sched_setscheduler,0.00,15
15,3,0,0.000042,brk,0.00,14
16,1,0,0.000034,_llseek,0.00,34
17,7,0,0.000023,sched_get_priority_min,0.00,3
18,6,0,0.000021,lseek,0.00,4
19,3,0,0.000014,sched_setaffinity,0.00,5
20,6,0,0.000013,sched_get_priority_max,0.00,2
21,2,0,0.000013,rt_sigaction,0.00,7
22,2,0,0.000011,rt_sigprocmask,0.00,6
23,1,0,0.000007,sched_getaffinity,0.00,7
24,1,0,0.000005,uname,0.00,5
25,1,0,0.000004,getrlimit,0.00,4
26,1,0,0.000002,set_tid_address,0.00,2
27,1,0,0.000002,set_robust_list,0.00,2
