,calls,errors,seconds,syscall,time,usecs/call
0,2,0,1.695475,clock_nanosleep,33.73,847738
1,4,0,1.667452,gettimeofday,33.17,416863
2,7,1,1.660506,futex,33.03,237215
3,27,0,0.001135,write,0.02,42
4,6,0,0.000320,open,0.01,53
5,16,0,0.000287,mmap2,0.01,18
6,12,0,0.000284,read,0.01,24
7,3,0,0.000267,clone,0.01,89
8,10,0,0.000211,mprotect,0.00,21
9,2,0,0.000207,munmap,0.00,104
10,4,0,0.000168,sched_setscheduler,0.00,42
11,6,0,0.000131,close,0.00,22
12,6,0,0.000077,fstat64,0.00,13
13,7,0,0.000075,sched_get_priority_min,0.00,11
14,6,0,0.000058,sched_get_priority_max,0.00,10
15,3,0,0.000045,brk,0.00,15
16,2,0,0.000038,rt_sigprocmask,0.00,19
17,3,0,0.000037,sched_setaffinity,0.00,12
18,1,0,0.000035,_llseek,0.00,35
19,2,0,0.000026,rt_sigaction,0.00,13
20,1,0,0.000017,sched_getaffinity,0.00,17
21,1,0,0.000013,getrlimit,0.00,13
22,1,0,0.000012,set_tid_address,0.00,12
23,1,0,0.000010,set_robust_list,0.00,10
24,1,0,0.000000,execve,0.00,0
25,6,0,0.000000,lseek,0.00,0
26,5,5,0.000000,access,0.00,0
27,1,0,0.000000,uname,0.00,0
