,calls,errors,seconds,syscall,time,usecs/call
0,7,1,1.757813,futex,33.79,251116
1,2,0,1.732422,clock_nanosleep,33.30,866211
2,4,0,1.710937,gettimeofday,32.89,427734
3,27,0,0.000926,write,0.02,34
4,6,0,0.000250,close,0.00,42
5,10,0,0.000178,mprotect,0.00,18
6,4,0,0.000099,sched_setscheduler,0.00,25
7,12,0,0.000000,read,0.00,0
8,6,0,0.000000,open,0.00,0
9,1,0,0.000000,execve,0.00,0
10,6,0,0.000000,lseek,0.00,0
11,5,5,0.000000,access,0.00,0
12,3,0,0.000000,brk,0.00,0
13,2,0,0.000000,munmap,0.00,0
14,3,0,0.000000,clone,0.00,0
15,1,0,0.000000,uname,0.00,0
16,1,0,0.000000,_llseek,0.00,0
17,6,0,0.000000,sched_get_priority_max,0.00,0
18,7,0,0.000000,sched_get_priority_min,0.00,0
19,2,0,0.000000,rt_sigaction,0.00,0
20,2,0,0.000000,rt_sigprocmask,0.00,0
21,1,0,0.000000,getrlimit,0.00,0
22,16,0,0.000000,mmap2,0.00,0
23,6,0,0.000000,fstat64,0.00,0
24,3,0,0.000000,sched_setaffinity,0.00,0
25,1,0,0.000000,sched_getaffinity,0.00,0
26,1,0,0.000000,set_tid_address,0.00,0
27,1,0,0.000000,set_robust_list,0.00,0
