,Average delay ms,Maximum delay at,Maximum delay ms,Runtime ms,Switches,Task
0,:4.010,76736.828388,:9.850,0.000,9,sudo:32351
1,:2.633,76790.087904,:8.154,0.000,5,sh:32384
2,:1.809,76751.121991,:8.630,0.000,236,wicd:984
3,:1.557,76790.072106,:6.420,0.000,19,cron:(2)
4,:1.379,76753.267840,:3.034,0.000,24,rs:mainQ:Reg:626
5,:1.175,76741.060274,:4.415,0.000,148,ifconfig:(12)
6,:1.105,76790.255985,:3.761,0.000,43,ps:32388
7,:1.016,76782.345972,:3.822,0.000,13,mesg:32375
8,:1.015,76782.306724,:3.889,0.000,55,bash:(2)
9,:0.902,76782.293737,:2.369,0.000,8,id:32374
10,:0.875,76771.025834,:6.138,0.000,140,wicd-monitor:990
11,:0.767,76787.884907,:3.065,0.000,35,systemd-journal:118
12,:0.704,76787.556828,:5.063,0.000,88,ls:(6)
13,:0.436,76753.266588,:10.919,0.000,2593,sshd:(11)
14,:0.141,76790.116261,:10.424,0.000,64341,.koworker:(6)
15,:0.107,76780.097112,:0.268,0.000,10,kworker/0:0:32281
16,:0.097,76771.021930,:1.689,0.000,84,dbus-daemon:518
17,:0.078,76785.966464,:0.626,0.000,20,avahi-daemon:500
18,:0.061,76790.363966,:0.122,0.000,2,systemd:1
19,:0.035,76777.435879,:0.064,0.000,143,kthreadd:(2)
20,:0.034,76768.658913,:0.068,0.000,148,kworker/u2:1:27770
21,:0.029,76786.061887,:0.049,0.000,94,ksoftirqd/0:7
22,:0.025,76741.091924,:0.078,0.000,8,mmcqd/1:89
23,:0.024,76736.840387,:4.483,0.000,12014,cyclictest:(2)
24,:0.014,76767.785847,:0.028,0.000,2,kworker/0:1H:96
25,:0.000,0.000000,:0.000,0.000,1,rsyslogd:627
26,:0.000,0.000000,:0.000,0.000,1,ptp0:1120
27,:0.000,0.000000,:0.000,0.000,1,kworker/u2:0:32178
28,:0.000,0.000000,:0.000,0.000,1,kworker/0:2:25061
29,:0.000,0.000000,:0.000,0.000,1,jbd2/mmcblk1p2-:97
30,:0.000,0.000000,:0.000,0.000,1,irq/31-44e0b000:90
31,:0.000,0.000000,:0.000,0.000,1,apache2:808
