,parameter,process_name,process_time
0,0,brk,0.004150
1,3,close,0.000587
2,3,close,0.000757
3,3,close,0.000588
4,3,close,0.000673
5,0xb6fc6068,set_tid_address,0.000694
6,3,close,0.000952
7,SCHED_FIFO,sched_get_priority_min,0.000985
8,0,brk,0.001389
9,0x37000,brk,0.000456
10,SCHED_FIFO,sched_get_priority_min,0.000686
11,SCHED_FIFO,sched_get_priority_max,0.000415
12,SCHED_FIFO,sched_get_priority_min,0.000438
13,SCHED_FIFO,sched_get_priority_max,0.000331
14,SCHED_FIFO,sched_get_priority_min,0.000634
15,SCHED_FIFO,sched_get_priority_max,0.000388
16,SCHED_FIFO,sched_get_priority_min,0.000502
17,SCHED_FIFO,sched_get_priority_max,0.000325
18,SCHED_FIFO,sched_get_priority_min,0.000466
19,SCHED_FIFO,sched_get_priority_max,0.000454
20,SCHED_FIFO,sched_get_priority_min,0.000383
21,SCHED_FIFO,sched_get_priority_max,0.000677
22,3,close,0.000140
23,0,exit_group,0.000690
