,Average delay ms,Maximum delay at,Maximum delay ms,Runtime ms,Switches,Task
0,:2.466,76562.574765,12.153,0.000,5,perf:32266
1,:1.800,76591.094139,6.849,0.000,226,wicd:984
2,:1.467,76609.780228,7.006,0.000,9,sh:32285
3,:1.188,76609.801625,5.770,0.000,25,cron:(2)
4,:1.118,76610.032644,3.272,0.000,40,ps:32289
5,:1.109,76601.048275,4.878,0.000,153,ifconfig:(12)
6,:1.047,76598.299192,3.848,0.000,14,rs:mainQ:Reg:626
7,:0.958,76591.025466,5.423,0.000,135,wicd-monitor:990
8,:0.761,76579.354419,2.061,0.000,19,systemd-journal:118
9,:0.371,76592.160416,10.373,0.000,2324,sshd:(9)
10,:0.134,76562.636519,16.284,0.000,64431,.koworker:(6)
11,:0.090,76594.381232,0.877,0.000,19,avahi-daemon:500
12,:0.082,76564.416609,0.247,0.000,20,kworker/0:1:32113
13,:0.081,76567.023520,0.162,0.000,2,kworker/0:1H:96
14,:0.075,76576.009895,1.348,0.000,83,dbus-daemon:518
15,:0.047,76612.060444,0.085,0.000,14,kthreadd:(2)
16,:0.040,76596.545195,0.109,0.000,10,mmcqd/1:89
17,:0.035,76590.182665,0.303,0.000,342,kworker/u2:1:27770
18,:0.029,76621.054438,0.050,0.000,123,ksoftirqd/0:7
19,:0.028,76587.488405,0.056,0.000,2,ptp0:1120
20,:0.022,76618.720385,0.036,0.000,4,irq/31-44e0b000:90
21,:0.021,76562.624302,0.042,0.000,2,rsyslogd:627
22,:0.020,76562.644168,7.868,0.000,12101,cyclictest:(2)
23,:0.019,76577.976388,0.029,0.000,3,jbd2/mmcblk1p2-:97
24,:0.000,0.000000,0.000,0.000,1,systemd:1
25,:0.000,0.000000,0.000,0.000,1,kworker/u2:0:32178
26,:0.000,0.000000,0.000,0.000,1,kworker/dying:31947
27,:0.000,0.000000,0.000,0.000,1,kworker/0:2:25061
28,:0.000,0.000000,0.000,0.000,1,khungtaskd:12
29,:0.000,0.000000,0.000,0.000,1,apache2:808
