,calls,errors,seconds,syscall,time,usecs/call
0,7,1,1.706690,futex,34.12,243813
1,2,0,1.647437,clock_nanosleep,32.94,823719
2,4,0,1.643439,gettimeofday,32.86,410860
3,27,0,0.000933,write,0.02,35
4,16,0,0.000510,mmap2,0.01,32
5,6,0,0.000405,open,0.01,68
6,12,0,0.000389,read,0.01,32
7,10,0,0.000292,mprotect,0.01,29
8,3,0,0.000245,clone,0.00,82
9,5,5,0.000241,access,0.00,48
10,2,0,0.000139,munmap,0.00,70
11,6,0,0.000129,close,0.00,22
12,6,0,0.000093,fstat64,0.00,16
13,4,0,0.000087,sched_setscheduler,0.00,22
14,7,0,0.000070,sched_get_priority_min,0.00,10
15,6,0,0.000060,lseek,0.00,10
16,6,0,0.000057,sched_get_priority_max,0.00,10
17,3,0,0.000046,brk,0.00,15
18,3,0,0.000036,sched_setaffinity,0.00,12
19,2,0,0.000026,rt_sigprocmask,0.00,13
20,2,0,0.000021,rt_sigaction,0.00,11
21,1,0,0.000015,_llseek,0.00,15
22,1,0,0.000014,sched_getaffinity,0.00,14
23,1,0,0.000011,getrlimit,0.00,11
24,1,0,0.000009,set_tid_address,0.00,9
25,1,0,0.000008,set_robust_list,0.00,8
26,1,0,0.000000,execve,0.00,0
27,1,0,0.000000,uname,0.00,0
