# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222900
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.02%  kworker/u2:2:32364 [120] t ==> .koworker:1016 [120]
     0.02%  cyclictest:32353 [0] S ==> ps:32388 [120]
     0.02%  kworker/0:0:32281 [120] t ==> .koworker:1014 [120]
     0.02%  mmcqd/1:89 [120] R ==> cyclictest:32353 [0]
     0.02%  .koworker:1019 [120] R ==> mmcqd/1:89 [120]
     0.02%  cyclictest:32352 [120] S ==> cyclictest:32353 [0]
     0.02%  cyclictest:32353 [0] S ==> kworker/0:0:32281 [120]
     0.02%  ls:32378 [120] S ==> ls:32377 [120]
     0.02%  .koworker:1014 [120] R ==> kworker/0:0:32281 [120]
     0.02%  kworker/0:0:32281 [120] t ==> perf:32349 [120]
     0.02%  bash:32372 [120] R ==> cyclictest:32353 [0]
     0.02%  .koworker:32385 [120] R ==> cyclictest:32353 [0]
     0.02%  .koworker:32386 [120] S ==> .koworker:32385 [120]
     0.02%  .koworker:1016 [120] R ==> mmcqd/1:89 [120]
     0.02%  perf:32349 [120] S ==> .koworker:1016 [120]
     0.02%  sshd:27636 [120] R ==> ksoftirqd/0:7 [120]
     0.02%  cyclictest:32353 [0] S ==> mmcqd/1:89 [120]
     0.02%  ls:32378 [120] S ==> ls:32380 [120]
     0.02%  perf:32349 [120] S ==> .koworker:1019 [120]
     0.02%  ksoftirqd/0:7 [120] S ==> systemd-journal:118 [120]
     0.01%  ls:32377 [120] R ==> ls:32378 [120]
     0.01%  mmcqd/1:89 [120] S ==> .koworker:1016 [120]
     0.01%  kworker/u2:1:27770 [120] t ==> .koworker:1019 [120]
     0.01%  kworker/u2:1:27770 [120] t ==> kworker/0:0:32281 [120]
     0.01%  mmcqd/1:89 [120] S ==> .koworker:1019 [120]
     0.01%  .koworker:32385 [120] R ==> .koworker:32386 [120]
     0.01%  apache2:808 [120] S ==> .koworker:1019 [120]
     0.01%  cyclictest:32353 [0] S ==> .koworker:32385 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> avahi-daemon:500 [120]
     0.01%  mmcqd/1:89 [120] R ==> kworker/0:1H:96 [100]
     0.01%  .koworker:1016 [120] R ==> .koworker:1019 [120]
     0.01%  .koworker:1016 [120] R ==> .koworker:32386 [120]
     0.01%  .koworker:1016 [120] S ==> .koworker:1019 [120]
     0.01%  .koworker:1019 [120] S ==> .koworker:1016 [120]
     0.01%  .koworker:32386 [120] S ==> .koworker:1016 [120]
     0.01%  cyclictest:32353 [0] S ==> systemd-journal:118 [120]
     0.01%  .koworker:1019 [120] R ==> perf:32349 [120]
     0.01%  ls:32380 [120] R ==> ls:32378 [120]
     0.01%  rs:main Q:Reg:626 [120] R ==> cyclictest:32353 [0]
     0.01%  sshd:32369 [120] R ==> cyclictest:32353 [0]
     0.01%  .koworker:1016 [120] R ==> perf:32349 [120]
     0.01%  cyclictest:32353 [0] S ==> avahi-daemon:500 [120]
     0.01%  cyclictest:32353 [0] S ==> sshd:32369 [120]
     0.01%  jbd2/mmcblk1p2-:97 [120] D ==> mmcqd/1:89 [120]
     0.01%  kworker/u2:1:27770 [120] t ==> .koworker:1016 [120]
     0.01%  apache2:808 [120] S ==> .koworker:1016 [120]
     0.01%  avahi-daemon:500 [120] S ==> .koworker:1016 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32358 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32368 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32358 [120]
     0.01%  sshd:27636 [120] S ==> wicd:984 [120]
     0.01%  avahi-daemon:500 [120] R ==> cyclictest:32353 [0]
     0.01%  cyclictest:32353 [0] S ==> rs:main Q:Reg:626 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> perf:32349 [120]
     0.01%  ls:32377 [120] R ==> kworker/u2:2:32364 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32355 [120]
     0.01%  .koworker:1019 [120] R ==> .koworker:1016 [120]
     0.01%  avahi-daemon:500 [120] S ==> .koworker:1019 [120]
     0.01%  cron:32383 [120] R ==> cyclictest:32353 [0]
     0.01%  cyclictest:32353 [0] S ==> bash:32372 [120]
     0.01%  cyclictest:32353 [0] S ==> cron:32383 [120]
     0.01%  dbus-daemon:518 [120] S ==> .koworker:1019 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32367 [120]
     0.01%  kworker/0:1H:96 [100] t ==> mmcqd/1:89 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> bash:32372 [120]
     0.01%  kworker/0:0:32281 [120] D ==> cyclictest:32352 [120]
     0.01%  kworker/u2:1:27770 [120] t ==> cyclictest:32353 [0]
     0.01%  kworker/u2:2:32364 [120] t ==> .koworker:1019 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32367 [120]
     0.01%  kworker/u2:2:32364 [120] t ==> kworker/0:0:32281 [120]
     0.01%  wicd:984 [120] R ==> kworker/0:0:32281 [120]
     0.01%  kworker/0:0:32281 [120] D ==> ksoftirqd/0:7 [120]
     0.01%  kworker/0:0:32281 [120] D ==> sshd:27636 [120]
     0.01%  perf:32349 [120] S ==> cyclictest:32352 [120]
     0.01%  wicd:984 [120] S ==> ksoftirqd/0:7 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:19316 [120]
     0.01%  kworker/u2:2:32364 [120] t ==> cyclictest:32353 [0]
     0.01%  mmcqd/1:89 [120] S ==> perf:32349 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32368 [120]
     0.01%  cyclictest:32353 [0] S ==> ls:32378 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32355 [120]
     0.01%  kworker/0:0:32281 [120] t ==> wicd:984 [120]
     0.01%  wicd:984 [120] R ==> cyclictest:32352 [120]
     0.01%  cyclictest:32353 [0] S ==> jbd2/mmcblk1p2-:97 [120]
     0.01%  dbus-daemon:518 [120] S ==> .koworker:1016 [120]
     0.01%  kworker/0:0:32281 [120] R ==> cyclictest:32353 [0]
     0.01%  rsyslogd:627 [120] S ==> rs:main Q:Reg:626 [120]
     0.01%  sshd:32358 [120] R ==> cyclictest:32352 [120]
     0.01%  cyclictest:32353 [0] S ==> .koworker:32386 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> cyclictest:32353 [0]
     0.01%  ksoftirqd/0:7 [120] S ==> ls:32378 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32360 [120]
     0.01%  mmcqd/1:89 [120] S ==> jbd2/mmcblk1p2-:97 [120]
     0.01%  sshd:27636 [120] S ==> cyclictest:32353 [0]
     0.01%  sshd:27636 [120] S ==> sshd:32360 [120]
     0.01%  sshd:32356 [120] S ==> sshd:32355 [120]
     0.01%  sshd:32360 [120] S ==> sshd:32358 [120]
     0.01%  sshd:32370 [120] S ==> sshd:32367 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:740 [120]
     0.01%  ls:32377 [120] R ==> cyclictest:32353 [0]
     0.01%  sshd:27636 [120] S ==> sshd:32370 [120]
     0.01%  sshd:32369 [120] S ==> sshd:32368 [120]
     0.01%  wicd-monitor:990 [120] S ==> dbus-daemon:518 [120]
     0.00%  .koworker:1016 [120] R ==> avahi-daemon:500 [120]
     0.00%  dbus-daemon:518 [120] S ==> cyclictest:32352 [120]
     0.00%  irq/31-44e0b000:90 [49] S ==> kworker/0:0:32281 [120]
     0.00%  ls:32380 [120] R ==> cyclictest:32353 [0]
     0.00%  sshd:27636 [120] S ==> sshd:32356 [120]
     0.00%  sshd:32367 [120] R ==> cyclictest:32352 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> rsyslogd:627 [120]
     0.00%  kworker/u2:1:27770 [120] t ==> .koworker:1014 [120]
     0.00%  sshd:32358 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32367 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32367 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:740 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32359 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32363 [120] R ==> cyclictest:32353 [0]
     0.00%  .koworker:1019 [120] R ==> avahi-daemon:500 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32354 [120]
