# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.03%  cyclictest:32205 [0] S ==> systemd-journal:118 [120]
     0.03%  ksoftirqd/0:7 [120] S ==> systemd-journal:118 [120]
     0.03%  cyclictest:32205 [0] S ==> sshd:32227 [120]
     0.03%  ksoftirqd/0:7 [120] S ==> kworker/0:1:32113 [120]
     0.03%  .koworker:1014 [120] S ==> cyclictest:32205 [0]
     0.03%  ps:32216 [120] R ==> cyclictest:32205 [0]
     0.03%  wicd-monitor:990 [120] R ==> dbus-daemon:518 [120]
     0.03%  cyclictest:32204 [120] S ==> .koworker:1014 [120]
     0.03%  sshd:19316 [120] S ==> .koworker:1019 [120]
     0.03%  ksoftirqd/0:7 [120] S ==> wicd:984 [120]
     0.02%  cyclictest:32205 [0] S ==> sshd:32210 [120]
     0.02%  sshd:32231 [120] R ==> cyclictest:32205 [0]
     0.02%  cyclictest:32205 [0] S ==> apache2:808 [120]
     0.02%  cyclictest:32205 [0] S ==> ps:32216 [120]
     0.02%  kworker/0:1:32113 [120] t ==> .koworker:1014 [120]
     0.02%  wicd-monitor:990 [120] R ==> cyclictest:32205 [0]
     0.02%  sshd:19316 [120] S ==> .koworker:1016 [120]
     0.02%  sshd:27636 [120] S ==> sshd:19316 [120]
     0.02%  cyclictest:32205 [0] S ==> sshd:32231 [120]
     0.02%  ksoftirqd/0:7 [120] S ==> sshd:32228 [120]
     0.02%  cyclictest:32205 [0] S ==> mmcqd/1:89 [120]
     0.02%  sshd:19316 [120] R ==> kworker/0:1:32113 [120]
     0.02%  kworker/u2:1:27770 [120] t ==> kworker/0:1:32113 [120]
     0.02%  mmcqd/1:89 [120] R ==> cyclictest:32205 [0]
     0.02%  cyclictest:32204 [120] S ==> cyclictest:32205 [0]
     0.02%  .koworker:1014 [120] R ==> kworker/0:1:32113 [120]
     0.02%  .koworker:32214 [120] S ==> .koworker:1016 [120]
     0.02%  ksoftirqd/0:7 [120] S ==> avahi-daemon:500 [120]
     0.02%  kworker/0:1:32113 [120] t ==> perf:32202 [120]
     0.02%  kworker/u2:1:27770 [120] t ==> .koworker:1014 [120]
     0.02%  .koworker:1019 [120] R ==> mmcqd/1:89 [120]
     0.02%  .koworker:32213 [120] R ==> cyclictest:32205 [0]
     0.02%  kworker/0:1:32113 [120] t ==> sshd:19316 [120]
     0.01%  perf:32202 [120] S ==> .koworker:1016 [120]
     0.01%  cyclictest:32205 [0] S ==> .koworker:32213 [120]
     0.01%  sshd:27636 [120] R ==> ksoftirqd/0:7 [120]
     0.01%  rsyslogd:627 [120] S ==> rs:main Q:Reg:626 [120]
     0.01%  .koworker:1016 [120] R ==> .koworker:32214 [120]
     0.01%  .koworker:1016 [120] R ==> perf:32202 [120]
     0.01%  .koworker:1016 [120] S ==> .koworker:1019 [120]
     0.01%  kworker/u2:1:27770 [120] t ==> cyclictest:32205 [0]
     0.01%  perf:32202 [120] S ==> .koworker:1019 [120]
     0.01%  .koworker:1019 [120] S ==> .koworker:1016 [120]
     0.01%  apache2:808 [120] S ==> .koworker:1019 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32228 [120]
     0.01%  .koworker:32214 [120] S ==> .koworker:32213 [120]
     0.01%  dbus-daemon:518 [120] S ==> .koworker:1016 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32233 [120]
     0.01%  sshd:27636 [120] S ==> wicd:984 [120]
     0.01%  apache2:808 [120] S ==> .koworker:1016 [120]
     0.01%  mmcqd/1:89 [120] R ==> kworker/0:1H:96 [100]
     0.01%  sshd:27636 [120] S ==> sshd:32223 [120]
     0.01%  .koworker:32213 [120] R ==> .koworker:32214 [120]
     0.01%  avahi-daemon:500 [120] S ==> .koworker:1016 [120]
     0.01%  cyclictest:32205 [0] S ==> avahi-daemon:500 [120]
     0.01%  mmcqd/1:89 [120] S ==> .koworker:1019 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32230 [120]
     0.01%  .koworker:1019 [120] R ==> perf:32202 [120]
     0.01%  avahi-daemon:500 [120] S ==> .koworker:1019 [120]
     0.01%  perf:32202 [120] S ==> cyclictest:32204 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32226 [120]
     0.01%  .koworker:1016 [120] R ==> .koworker:1019 [120]
     0.01%  .koworker:1019 [120] R ==> .koworker:1016 [120]
     0.01%  kworker/0:1:32113 [120] D ==> ksoftirqd/0:7 [120]
     0.01%  rs:main Q:Reg:626 [120] S ==> systemd-journal:118 [120]
     0.01%  cron:32211 [120] R ==> cyclictest:32205 [0]
     0.01%  cyclictest:32204 [120] R ==> kworker/u2:0:32178 [120]
     0.01%  jbd2/mmcblk1p2-:97 [120] D ==> mmcqd/1:89 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32233 [120]
     0.01%  sshd:19316 [120] S ==> cyclictest:32204 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32209 [120]
     0.01%  avahi-daemon:500 [120] R ==> cyclictest:32205 [0]
     0.01%  cyclictest:32205 [0] S ==> cron:32211 [120]
     0.01%  rs:main Q:Reg:626 [120] R ==> cyclictest:32205 [0]
     0.01%  sshd:19316 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32235 [120]
     0.01%  .koworker:1016 [120] R ==> mmcqd/1:89 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> perf:32202 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:740 [120]
     0.01%  kworker/0:1:32113 [120] R ==> cyclictest:32205 [0]
     0.01%  sshd:27636 [120] S ==> cyclictest:32205 [0]
     0.01%  sshd:27636 [120] S ==> sshd:32234 [120]
     0.01%  sshd:32223 [120] R ==> kworker/0:1:32113 [120]
