# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 221K of event 'sched:sched_switch'
# Event count (approx.): 221716
#
# Overhead  Trace output                                            
# ........  ........................................................
#
    12.56%  cyclictest:32166 [120] R ==> kworker/u2:1:27770 [120]
    12.01%  .koworker:1019 [120] R ==> cyclictest:32167 [0]
    11.96%  .koworker:1016 [120] R ==> cyclictest:32167 [0]
    11.41%  cyclictest:32167 [0] S ==> .koworker:1019 [120]
    11.32%  cyclictest:32167 [0] S ==> .koworker:1016 [120]
    10.04%  kworker/u2:1:27770 [120] t ==> cyclictest:32166 [120]
     2.49%  cyclictest:32166 [120] S ==> sshd:27636 [120]
     2.40%  ksoftirqd/0:7 [120] S ==> cyclictest:32166 [120]
     2.28%  kworker/u2:1:27770 [120] t ==> ksoftirqd/0:7 [120]
     2.22%  sshd:27636 [120] S ==> .koworker:1014 [120]
     1.36%  cyclictest:32167 [0] S ==> ksoftirqd/0:7 [120]
     1.26%  .koworker:1014 [120] S ==> .koworker:1019 [120]
     1.25%  .koworker:1014 [120] S ==> .koworker:1016 [120]
     1.20%  .koworker:1016 [120] R ==> kworker/0:1:32113 [120]
     1.20%  .koworker:1019 [120] R ==> kworker/0:1:32113 [120]
     1.14%  kworker/0:1:32113 [120] t ==> .koworker:1019 [120]
     1.13%  kworker/0:1:32113 [120] t ==> .koworker:1016 [120]
     1.13%  .koworker:1019 [120] R ==> cyclictest:32166 [120]
     1.10%  .koworker:1016 [120] R ==> cyclictest:32166 [120]
     0.93%  cyclictest:32167 [0] S ==> cyclictest:32166 [120]
     0.90%  cyclictest:32166 [120] R ==> cyclictest:32167 [0]
     0.90%  sshd:27636 [120] R ==> cyclictest:32167 [0]
     0.81%  cyclictest:32167 [0] S ==> sshd:27636 [120]
     0.49%  ksoftirqd/0:7 [120] S ==> .koworker:1016 [120]
     0.47%  ksoftirqd/0:7 [120] S ==> .koworker:1019 [120]
     0.30%  sshd:27636 [120] S ==> cyclictest:32166 [120]
     0.28%  kworker/u2:1:27770 [120] t ==> sshd:27636 [120]
     0.26%  kworker/u2:1:27770 [120] R ==> cyclictest:32167 [0]
     0.25%  cyclictest:32167 [0] S ==> kworker/u2:1:27770 [120]
     0.22%  cyclictest:32167 [0] S ==> .koworker:1014 [120]
     0.17%  .koworker:1014 [120] R ==> cyclictest:32167 [0]
     0.15%  ksoftirqd/0:7 [120] S ==> kworker/u2:1:27770 [120]
     0.14%  kworker/0:1:32113 [120] t ==> ksoftirqd/0:7 [120]
     0.13%  kworker/0:1:32113 [120] t ==> cyclictest:32166 [120]
     0.12%  .koworker:1016 [120] R ==> .koworker:1014 [120]
     0.12%  sshd:27636 [120] S ==> .koworker:1016 [120]
     0.11%  ksoftirqd/0:7 [120] S ==> sshd:27636 [120]
     0.10%  perf:32163 [120] R ==> cyclictest:32167 [0]
     0.09%  .koworker:1019 [120] R ==> .koworker:1014 [120]
     0.09%  cyclictest:32167 [0] S ==> perf:32163 [120]
     0.09%  cyclictest:32166 [120] R ==> kworker/0:1:32113 [120]
     0.08%  sshd:27636 [120] S ==> .koworker:1019 [120]
     0.08%  ksoftirqd/0:7 [120] S ==> kworker/0:1:32113 [120]
     0.08%  kworker/0:1:32113 [120] t ==> sshd:27636 [120]
     0.08%  sshd:27636 [120] R ==> kworker/0:1:32113 [120]
     0.08%  wicd:984 [120] R ==> cyclictest:32167 [0]
     0.07%  cyclictest:32167 [0] S ==> wicd:984 [120]
     0.06%  cyclictest:32167 [0] S ==> kworker/0:1:32113 [120]
     0.06%  ksoftirqd/0:7 [120] R ==> cyclictest:32167 [0]
     0.06%  cyclictest:32167 [0] S ==> wicd-monitor:990 [120]
     0.05%  sshd:32168 [120] R ==> cyclictest:32167 [0]
     0.05%  sshd:32174 [120] R ==> cyclictest:32167 [0]
     0.05%  sshd:32188 [120] R ==> cyclictest:32167 [0]
     0.05%  kworker/0:1:32113 [120] D ==> .koworker:1016 [120]
     0.05%  .koworker:1016 [120] R ==> ksoftirqd/0:7 [120]
     0.05%  cyclictest:32167 [0] S ==> sshd:32174 [120]
     0.05%  cyclictest:32167 [0] S ==> sshd:32168 [120]
     0.04%  .koworker:1019 [120] R ==> ksoftirqd/0:7 [120]
     0.04%  kworker/0:1:32113 [120] D ==> .koworker:1019 [120]
     0.04%  .koworker:1014 [120] S ==> cyclictest:32167 [0]
     0.04%  cyclictest:32167 [0] S ==> sshd:32188 [120]
     0.04%  cyclictest:32167 [0] S ==> dbus-daemon:518 [120]
     0.04%  dbus-daemon:518 [120] R ==> cyclictest:32167 [0]
     0.03%  kworker/u2:1:27770 [120] t ==> kworker/0:1:32113 [120]
     0.03%  sshd:32169 [120] R ==> cyclictest:32167 [0]
     0.03%  sshd:32189 [120] R ==> cyclictest:32167 [0]
     0.03%  wicd-monitor:990 [120] S ==> wicd:984 [120]
     0.03%  cyclictest:32166 [120] S ==> .koworker:1014 [120]
     0.03%  sshd:32175 [120] R ==> cyclictest:32167 [0]
     0.03%  cyclictest:32167 [0] S ==> sshd:32169 [120]
     0.03%  .koworker:32184 [120] S ==> .koworker:32183 [120]
     0.03%  cyclictest:32167 [0] S ==> sshd:32175 [120]
     0.03%  cyclictest:32167 [0] S ==> sshd:32189 [120]
     0.03%  ksoftirqd/0:7 [120] S ==> .koworker:1014 [120]
     0.03%  ps:32186 [120] R ==> cyclictest:32167 [0]
     0.03%  wicd:984 [120] R ==> dbus-daemon:518 [120]
     0.03%  dbus-daemon:518 [120] S ==> wicd-monitor:990 [120]
     0.03%  .koworker:32184 [120] S ==> .koworker:1019 [120]
     0.03%  wicd-monitor:990 [120] R ==> dbus-daemon:518 [120]
     0.03%  .koworker:1019 [120] R ==> mmcqd/1:89 [120]
     0.03%  .koworker:32183 [120] R ==> .koworker:32184 [120]
     0.03%  wicd-monitor:990 [120] R ==> cyclictest:32167 [0]
     0.02%  kworker/u2:1:27770 [120] t ==> .koworker:1016 [120]
     0.02%  systemd-journal:118 [120] R ==> cyclictest:32167 [0]
     0.02%  cyclictest:32167 [0] S ==> apache2:808 [120]
     0.02%  ksoftirqd/0:7 [120] S ==> wicd:984 [120]
     0.02%  sshd:19316 [120] R ==> cyclictest:32167 [0]
     0.02%  .koworker:1019 [120] R ==> .koworker:32184 [120]
     0.02%  mmcqd/1:89 [120] S ==> .koworker:1019 [120]
     0.02%  kworker/0:1:32113 [120] t ==> .koworker:1014 [120]
     0.02%  perf:32163 [120] S ==> .koworker:1016 [120]
